,ele_1,ele_2,EMD,mend_1,mend_2,mend_diff
2001,Na,Ge,0.7156862745098039,"(11.0, 'Na')","(84.0, 'Ge')",73.0
2002,Ge,Na,0.7156862745098039,"(84.0, 'Ge')","(11.0, 'Na')",73.0
2003,Na,As,0.7745098039215687,"(11.0, 'Na')","(89.0, 'As')",78.0
2004,As,Na,0.7745098039215687,"(89.0, 'As')","(11.0, 'Na')",78.0
2005,Na,Se,0.8235294117647058,"(11.0, 'Na')","(93.0, 'Se')",82.0
2006,Se,Na,0.8235294117647058,"(93.0, 'Se')","(11.0, 'Na')",82.0
2007,Na,Br,0.8725490196078431,"(11.0, 'Na')","(98.0, 'Br')",87.0
2008,Br,Na,0.8725490196078431,"(98.0, 'Br')","(11.0, 'Na')",87.0
2009,Na,Kr,0.06862745098039216,"(11.0, 'Na')","(4.0, 'Kr')",7.0
2010,Kr,Na,0.06862745098039216,"(4.0, 'Kr')","(11.0, 'Na')",7.0
2011,Na,Rb,0.0196078431372549,"(11.0, 'Na')","(9.0, 'Rb')",2.0
2012,Rb,Na,0.0196078431372549,"(9.0, 'Rb')","(11.0, 'Na')",2.0
2013,Na,Sr,0.0392156862745098,"(11.0, 'Na')","(15.0, 'Sr')",4.0
2014,Sr,Na,0.0392156862745098,"(15.0, 'Sr')","(11.0, 'Na')",4.0
2015,Na,Y,0.09803921568627451,"(11.0, 'Na')","(25.0, 'Y')",14.0
2016,Y,Na,0.09803921568627451,"(25.0, 'Y')","(11.0, 'Na')",14.0
2017,Na,Zr,0.37254901960784315,"(11.0, 'Na')","(49.0, 'Zr')",38.0
2018,Zr,Na,0.37254901960784315,"(49.0, 'Zr')","(11.0, 'Na')",38.0
2019,Na,Nb,0.4117647058823529,"(11.0, 'Na')","(53.0, 'Nb')",42.0
2020,Nb,Na,0.4117647058823529,"(53.0, 'Nb')","(11.0, 'Na')",42.0
2021,Na,Mo,0.4411764705882353,"(11.0, 'Na')","(56.0, 'Mo')",45.0
2022,Mo,Na,0.4411764705882353,"(56.0, 'Mo')","(11.0, 'Na')",45.0
2023,Na,Tc,0.47058823529411764,"(11.0, 'Na')","(59.0, 'Tc')",48.0
2024,Tc,Na,0.47058823529411764,"(59.0, 'Tc')","(11.0, 'Na')",48.0
2025,Na,Ru,0.49019607843137253,"(11.0, 'Na')","(62.0, 'Ru')",51.0
2026,Ru,Na,0.49019607843137253,"(62.0, 'Ru')","(11.0, 'Na')",51.0
2027,Na,Rh,0.5098039215686274,"(11.0, 'Na')","(65.0, 'Rh')",54.0
2028,Rh,Na,0.5098039215686274,"(65.0, 'Rh')","(11.0, 'Na')",54.0
2029,Na,Pd,0.5294117647058824,"(11.0, 'Na')","(69.0, 'Pd')",58.0
2030,Pd,Na,0.5294117647058824,"(69.0, 'Pd')","(11.0, 'Na')",58.0
2031,Na,Ag,0.5490196078431373,"(11.0, 'Na')","(71.0, 'Ag')",60.0
2032,Ag,Na,0.5490196078431373,"(71.0, 'Ag')","(11.0, 'Na')",60.0
2033,Na,Cd,0.6274509803921569,"(11.0, 'Na')","(75.0, 'Cd')",64.0
