,ele_1,ele_2,EMD,mend_1,mend_2,mend_diff
0,H,H,0.0,"(103.0, 'H')","(103.0, 'H')",0.0
1,H,He,1.0,"(103.0, 'H')","(1.0, 'He')",102.0
2,He,H,1.0,"(1.0, 'He')","(103.0, 'H')",102.0
3,H,Li,0.8921568627450981,"(103.0, 'H')","(12.0, 'Li')",91.0
4,Li,H,0.8921568627450981,"(12.0, 'Li')","(103.0, 'H')",91.0
5,H,Be,0.2549019607843137,"(103.0, 'H')","(77.0, 'Be')",26.0
6,Be,H,0.2549019607843137,"(77.0, 'Be')","(103.0, 'H')",26.0
7,H,B,0.16666666666666666,"(103.0, 'H')","(86.0, 'B')",17.0
8,B,H,0.16666666666666666,"(86.0, 'B')","(103.0, 'H')",17.0
9,H,C,0.1568627450980392,"(103.0, 'H')","(95.0, 'C')",8.0
10,C,H,0.1568627450980392,"(95.0, 'C')","(103.0, 'H')",8.0
11,H,N,0.14705882352941177,"(103.0, 'H')","(100.0, 'N')",3.0
12,N,H,0.14705882352941177,"(100.0, 'N')","(103.0, 'H')",3.0
13,H,O,0.058823529411764705,"(103.0, 'H')","(101.0, 'O')",2.0
14,O,H,0.058823529411764705,"(101.0, 'O')","(103.0, 'H')",2.0
15,H,F,0.00980392156862745,"(103.0, 'H')","(102.0, 'F')",1.0
16,F,H,0.00980392156862745,"(102.0, 'F')","(103.0, 'H')",1.0
17,H,Ne,0.9901960784313726,"(103.0, 'H')","(2.0, 'Ne')",101.0
18,Ne,H,0.9901960784313726,"(2.0, 'Ne')","(103.0, 'H')",101.0
19,H,Na,0.9019607843137255,"(103.0, 'H')","(11.0, 'Na')",92.0
20,Na,H,0.9019607843137255,"(11.0, 'Na')","(103.0, 'H')",92.0
21,H,Mg,0.29411764705882354,"(103.0, 'H')","(73.0, 'Mg')",30.0
22,Mg,H,0.29411764705882354,"(73.0, 'Mg')","(103.0, 'H')",30.0
23,H,Al,0.24509803921568626,"(103.0, 'H')","(80.0, 'Al')",23.0
24,Al,H,0.24509803921568626,"(80.0, 'Al')","(103.0, 'H')",23.0
25,H,Si,0.17647058823529413,"(103.0, 'H')","(85.0, 'Si')",18.0
26,Si,H,0.17647058823529413,"(85.0, 'Si')","(103.0, 'H')",18.0
27,H,P,0.13725490196078433,"(103.0, 'H')","(90.0, 'P')",13.0
28,P,H,0.13725490196078433,"(90.0, 'P')","(103.0, 'H')",13.0
29,H,S,0.06862745098039216,"(103.0, 'H')","(94.0, 'S')",9.0
30,S,H,0.06862745098039216,"(94.0, 'S')","(103.0, 'H')",9.0
31,H,Cl,0.0196078431372549,"(103.0, 'H')","(99.0, 'Cl')",4.0
32,Cl,H,0.0196078431372549,"(99.0, 'Cl')","(103.0, 'H')",4.0
33,H,Ar,0.9803921568627451,"(103.0, 'H')","(3.0, 'Ar')",100.0
34,Ar,H,0.9803921568627451,"(3.0, 'Ar')","(103.0, 'H')",100.0
35,H,K,0.9117647058823529,"(103.0, 'H')","(10.0, 'K')",93.0
36,K,H,0.9117647058823529,"(10.0, 'K')","(103.0, 'H')",93.0
37,H,Ca,0.8529411764705882,"(103.0, 'H')","(16.0, 'Ca')",87.0
38,Ca,H,0.8529411764705882,"(16.0, 'Ca')","(103.0, 'H')",87.0
39,H,Sc,0.5392156862745098,"(103.0, 'H')","(19.0, 'Sc')",84.0
40,Sc,H,0.5392156862745098,"(19.0, 'Sc')","(103.0, 'H')",84.0
41,H,Ti,0.5098039215686274,"(103.0, 'H')","(51.0, 'Ti')",52.0
42,Ti,H,0.5098039215686274,"(51.0, 'Ti')","(103.0, 'H')",52.0
43,H,V,0.4803921568627451,"(103.0, 'H')","(54.0, 'V')",49.0
44,V,H,0.4803921568627451,"(54.0, 'V')","(103.0, 'H')",49.0
45,H,Cr,0.47058823529411764,"(103.0, 'H')","(57.0, 'Cr')",46.0
46,Cr,H,0.47058823529411764,"(57.0, 'Cr')","(103.0, 'H')",46.0
47,H,Mn,0.30392156862745096,"(103.0, 'H')","(60.0, 'Mn')",43.0
48,Mn,H,0.30392156862745096,"(60.0, 'Mn')","(103.0, 'H')",43.0
49,H,Fe,0.3137254901960784,"(103.0, 'H')","(61.0, 'Fe')",42.0
50,Fe,H,0.3137254901960784,"(61.0, 'Fe')","(103.0, 'H')",42.0
51,H,Co,0.3235294117647059,"(103.0, 'H')","(64.0, 'Co')",39.0
52,Co,H,0.3235294117647059,"(64.0, 'Co')","(103.0, 'H')",39.0
53,H,Ni,0.3333333333333333,"(103.0, 'H')","(67.0, 'Ni')",36.0
54,Ni,H,0.3333333333333333,"(67.0, 'Ni')","(103.0, 'H')",36.0
55,H,Cu,0.3431372549019608,"(103.0, 'H')","(72.0, 'Cu')",31.0
56,Cu,H,0.3431372549019608,"(72.0, 'Cu')","(103.0, 'H')",31.0
57,H,Zn,0.28431372549019607,"(103.0, 'H')","(76.0, 'Zn')",27.0
58,Zn,H,0.28431372549019607,"(76.0, 'Zn')","(103.0, 'H')",27.0
59,H,Ga,0.23529411764705882,"(103.0, 'H')","(81.0, 'Ga')",22.0
60,Ga,H,0.23529411764705882,"(81.0, 'Ga')","(103.0, 'H')",22.0
61,H,Ge,0.18627450980392157,"(103.0, 'H')","(84.0, 'Ge')",19.0
62,Ge,H,0.18627450980392157,"(84.0, 'Ge')","(103.0, 'H')",19.0
63,H,As,0.12745098039215685,"(103.0, 'H')","(89.0, 'As')",14.0
64,As,H,0.12745098039215685,"(89.0, 'As')","(103.0, 'H')",14.0
65,H,Se,0.0784313725490196,"(103.0, 'H')","(93.0, 'Se')",10.0
66,Se,H,0.0784313725490196,"(93.0, 'Se')","(103.0, 'H')",10.0
67,H,Br,0.029411764705882353,"(103.0, 'H')","(98.0, 'Br')",5.0
68,Br,H,0.029411764705882353,"(98.0, 'Br')","(103.0, 'H')",5.0
69,H,Kr,0.9705882352941176,"(103.0, 'H')","(4.0, 'Kr')",99.0
70,Kr,H,0.9705882352941176,"(4.0, 'Kr')","(103.0, 'H')",99.0
71,H,Rb,0.9215686274509803,"(103.0, 'H')","(9.0, 'Rb')",94.0
72,Rb,H,0.9215686274509803,"(9.0, 'Rb')","(103.0, 'H')",94.0
73,H,Sr,0.8627450980392157,"(103.0, 'H')","(15.0, 'Sr')",88.0
74,Sr,H,0.8627450980392157,"(15.0, 'Sr')","(103.0, 'H')",88.0
75,H,Y,0.803921568627451,"(103.0, 'H')","(25.0, 'Y')",78.0
76,Y,H,0.803921568627451,"(25.0, 'Y')","(103.0, 'H')",78.0
77,H,Zr,0.5294117647058824,"(103.0, 'H')","(49.0, 'Zr')",54.0
78,Zr,H,0.5294117647058824,"(49.0, 'Zr')","(103.0, 'H')",54.0
79,H,Nb,0.49019607843137253,"(103.0, 'H')","(53.0, 'Nb')",50.0
80,Nb,H,0.49019607843137253,"(53.0, 'Nb')","(103.0, 'H')",50.0
81,H,Mo,0.46078431372549017,"(103.0, 'H')","(56.0, 'Mo')",47.0
82,Mo,H,0.46078431372549017,"(56.0, 'Mo')","(103.0, 'H')",47.0
83,H,Tc,0.43137254901960786,"(103.0, 'H')","(59.0, 'Tc')",44.0
84,Tc,H,0.43137254901960786,"(59.0, 'Tc')","(103.0, 'H')",44.0
85,H,Ru,0.4117647058823529,"(103.0, 'H')","(62.0, 'Ru')",41.0
86,Ru,H,0.4117647058823529,"(62.0, 'Ru')","(103.0, 'H')",41.0
87,H,Rh,0.39215686274509803,"(103.0, 'H')","(65.0, 'Rh')",38.0
88,Rh,H,0.39215686274509803,"(65.0, 'Rh')","(103.0, 'H')",38.0
89,H,Pd,0.37254901960784315,"(103.0, 'H')","(69.0, 'Pd')",34.0
90,Pd,H,0.37254901960784315,"(69.0, 'Pd')","(103.0, 'H')",34.0
91,H,Ag,0.35294117647058826,"(103.0, 'H')","(71.0, 'Ag')",32.0
92,Ag,H,0.35294117647058826,"(71.0, 'Ag')","(103.0, 'H')",32.0
93,H,Cd,0.27450980392156865,"(103.0, 'H')","(75.0, 'Cd')",28.0
94,Cd,H,0.27450980392156865,"(75.0, 'Cd')","(103.0, 'H')",28.0
95,H,In,0.22549019607843138,"(103.0, 'H')","(79.0, 'In')",24.0
96,In,H,0.22549019607843138,"(79.0, 'In')","(103.0, 'H')",24.0
97,H,Sn,0.19607843137254902,"(103.0, 'H')","(83.0, 'Sn')",20.0
98,Sn,H,0.19607843137254902,"(83.0, 'Sn')","(103.0, 'H')",20.0
99,H,Sb,0.11764705882352941,"(103.0, 'H')","(88.0, 'Sb')",15.0
100,Sb,H,0.11764705882352941,"(88.0, 'Sb')","(103.0, 'H')",15.0
101,H,Te,0.08823529411764706,"(103.0, 'H')","(92.0, 'Te')",11.0
102,Te,H,0.08823529411764706,"(92.0, 'Te')","(103.0, 'H')",11.0
103,H,I,0.0392156862745098,"(103.0, 'H')","(97.0, 'I')",6.0
104,I,H,0.0392156862745098,"(97.0, 'I')","(103.0, 'H')",6.0
105,H,Xe,0.9607843137254902,"(103.0, 'H')","(5.0, 'Xe')",98.0
106,Xe,H,0.9607843137254902,"(5.0, 'Xe')","(103.0, 'H')",98.0
107,H,Cs,0.9313725490196079,"(103.0, 'H')","(8.0, 'Cs')",95.0
108,Cs,H,0.9313725490196079,"(8.0, 'Cs')","(103.0, 'H')",95.0
109,H,Ba,0.8725490196078431,"(103.0, 'H')","(14.0, 'Ba')",89.0
110,Ba,H,0.8725490196078431,"(14.0, 'Ba')","(103.0, 'H')",89.0
111,H,La,0.696078431372549,"(103.0, 'H')","(33.0, 'La')",70.0
112,La,H,0.696078431372549,"(33.0, 'La')","(103.0, 'H')",70.0
113,H,Ce,0.7058823529411765,"(103.0, 'H')","(32.0, 'Ce')",71.0
114,Ce,H,0.7058823529411765,"(32.0, 'Ce')","(103.0, 'H')",71.0
115,H,Pr,0.7156862745098039,"(103.0, 'H')","(31.0, 'Pr')",72.0
116,Pr,H,0.7156862745098039,"(31.0, 'Pr')","(103.0, 'H')",72.0
117,H,Nd,0.7254901960784313,"(103.0, 'H')","(30.0, 'Nd')",73.0
118,Nd,H,0.7254901960784313,"(30.0, 'Nd')","(103.0, 'H')",73.0
119,H,Pm,0.7352941176470589,"(103.0, 'H')","(29.0, 'Pm')",74.0
120,Pm,H,0.7352941176470589,"(29.0, 'Pm')","(103.0, 'H')",74.0
121,H,Sm,0.7450980392156863,"(103.0, 'H')","(28.0, 'Sm')",75.0
122,Sm,H,0.7450980392156863,"(28.0, 'Sm')","(103.0, 'H')",75.0
123,H,Eu,0.8431372549019608,"(103.0, 'H')","(18.0, 'Eu')",85.0
124,Eu,H,0.8431372549019608,"(18.0, 'Eu')","(103.0, 'H')",85.0
125,H,Gd,0.7549019607843137,"(103.0, 'H')","(27.0, 'Gd')",76.0
126,Gd,H,0.7549019607843137,"(27.0, 'Gd')","(103.0, 'H')",76.0
127,H,Tb,0.7647058823529411,"(103.0, 'H')","(26.0, 'Tb')",77.0
128,Tb,H,0.7647058823529411,"(26.0, 'Tb')","(103.0, 'H')",77.0
129,H,Dy,0.7745098039215687,"(103.0, 'H')","(24.0, 'Dy')",79.0
130,Dy,H,0.7745098039215687,"(24.0, 'Dy')","(103.0, 'H')",79.0
131,H,Ho,0.7843137254901961,"(103.0, 'H')","(23.0, 'Ho')",80.0
132,Ho,H,0.7843137254901961,"(23.0, 'Ho')","(103.0, 'H')",80.0
133,H,Er,0.7941176470588235,"(103.0, 'H')","(22.0, 'Er')",81.0
134,Er,H,0.7941176470588235,"(22.0, 'Er')","(103.0, 'H')",81.0
135,H,Tm,0.8137254901960784,"(103.0, 'H')","(21.0, 'Tm')",82.0
136,Tm,H,0.8137254901960784,"(21.0, 'Tm')","(103.0, 'H')",82.0
137,H,Yb,0.8333333333333334,"(103.0, 'H')","(17.0, 'Yb')",86.0
138,Yb,H,0.8333333333333334,"(17.0, 'Yb')","(103.0, 'H')",86.0
139,H,Lu,0.8235294117647058,"(103.0, 'H')","(20.0, 'Lu')",83.0
140,Lu,H,0.8235294117647058,"(20.0, 'Lu')","(103.0, 'H')",83.0
141,H,Hf,0.5196078431372549,"(103.0, 'H')","(50.0, 'Hf')",53.0
142,Hf,H,0.5196078431372549,"(50.0, 'Hf')","(103.0, 'H')",53.0
143,H,Ta,0.5,"(103.0, 'H')","(52.0, 'Ta')",51.0
144,Ta,H,0.5,"(52.0, 'Ta')","(103.0, 'H')",51.0
145,H,W,0.45098039215686275,"(103.0, 'H')","(55.0, 'W')",48.0
146,W,H,0.45098039215686275,"(55.0, 'W')","(103.0, 'H')",48.0
147,H,Re,0.4411764705882353,"(103.0, 'H')","(58.0, 'Re')",45.0
148,Re,H,0.4411764705882353,"(58.0, 'Re')","(103.0, 'H')",45.0
149,H,Os,0.4215686274509804,"(103.0, 'H')","(63.0, 'Os')",40.0
150,Os,H,0.4215686274509804,"(63.0, 'Os')","(103.0, 'H')",40.0
151,H,Ir,0.4019607843137255,"(103.0, 'H')","(66.0, 'Ir')",37.0
152,Ir,H,0.4019607843137255,"(66.0, 'Ir')","(103.0, 'H')",37.0
153,H,Pt,0.38235294117647056,"(103.0, 'H')","(68.0, 'Pt')",35.0
154,Pt,H,0.38235294117647056,"(68.0, 'Pt')","(103.0, 'H')",35.0
155,H,Au,0.3627450980392157,"(103.0, 'H')","(70.0, 'Au')",33.0
156,Au,H,0.3627450980392157,"(70.0, 'Au')","(103.0, 'H')",33.0
157,H,Hg,0.2647058823529412,"(103.0, 'H')","(74.0, 'Hg')",29.0
158,Hg,H,0.2647058823529412,"(74.0, 'Hg')","(103.0, 'H')",29.0
159,H,Tl,0.21568627450980393,"(103.0, 'H')","(78.0, 'Tl')",25.0
160,Tl,H,0.21568627450980393,"(78.0, 'Tl')","(103.0, 'H')",25.0
161,H,Pb,0.20588235294117646,"(103.0, 'H')","(82.0, 'Pb')",21.0
162,Pb,H,0.20588235294117646,"(82.0, 'Pb')","(103.0, 'H')",21.0
163,H,Bi,0.10784313725490197,"(103.0, 'H')","(87.0, 'Bi')",16.0
164,Bi,H,0.10784313725490197,"(87.0, 'Bi')","(103.0, 'H')",16.0
165,H,Po,0.09803921568627451,"(103.0, 'H')","(91.0, 'Po')",12.0
166,Po,H,0.09803921568627451,"(91.0, 'Po')","(103.0, 'H')",12.0
167,H,At,0.049019607843137254,"(103.0, 'H')","(96.0, 'At')",7.0
168,At,H,0.049019607843137254,"(96.0, 'At')","(103.0, 'H')",7.0
169,H,Rn,0.9509803921568627,"(103.0, 'H')","(6.0, 'Rn')",97.0
170,Rn,H,0.9509803921568627,"(6.0, 'Rn')","(103.0, 'H')",97.0
171,H,Fr,0.9411764705882353,"(103.0, 'H')","(7.0, 'Fr')",96.0
172,Fr,H,0.9411764705882353,"(7.0, 'Fr')","(103.0, 'H')",96.0
173,H,Ra,0.8823529411764706,"(103.0, 'H')","(13.0, 'Ra')",90.0
174,Ra,H,0.8823529411764706,"(13.0, 'Ra')","(103.0, 'H')",90.0
175,H,Ac,0.6862745098039216,"(103.0, 'H')","(48.0, 'Ac')",55.0
176,Ac,H,0.6862745098039216,"(48.0, 'Ac')","(103.0, 'H')",55.0
177,H,Th,0.6764705882352942,"(103.0, 'H')","(47.0, 'Th')",56.0
178,Th,H,0.6764705882352942,"(47.0, 'Th')","(103.0, 'H')",56.0
179,H,Pa,0.6666666666666666,"(103.0, 'H')","(46.0, 'Pa')",57.0
180,Pa,H,0.6666666666666666,"(46.0, 'Pa')","(103.0, 'H')",57.0
181,H,U,0.6568627450980392,"(103.0, 'H')","(45.0, 'U')",58.0
182,U,H,0.6568627450980392,"(45.0, 'U')","(103.0, 'H')",58.0
183,H,Np,0.6470588235294118,"(103.0, 'H')","(44.0, 'Np')",59.0
184,Np,H,0.6470588235294118,"(44.0, 'Np')","(103.0, 'H')",59.0
185,H,Pu,0.6372549019607843,"(103.0, 'H')","(43.0, 'Pu')",60.0
186,Pu,H,0.6372549019607843,"(43.0, 'Pu')","(103.0, 'H')",60.0
187,H,Am,0.6274509803921569,"(103.0, 'H')","(42.0, 'Am')",61.0
188,Am,H,0.6274509803921569,"(42.0, 'Am')","(103.0, 'H')",61.0
189,H,Cm,0.6176470588235294,"(103.0, 'H')","(41.0, 'Cm')",62.0
190,Cm,H,0.6176470588235294,"(41.0, 'Cm')","(103.0, 'H')",62.0
191,H,Bk,0.6078431372549019,"(103.0, 'H')","(40.0, 'Bk')",63.0
192,Bk,H,0.6078431372549019,"(40.0, 'Bk')","(103.0, 'H')",63.0
193,H,Cf,0.5980392156862745,"(103.0, 'H')","(39.0, 'Cf')",64.0
194,Cf,H,0.5980392156862745,"(39.0, 'Cf')","(103.0, 'H')",64.0
195,H,Es,0.5882352941176471,"(103.0, 'H')","(38.0, 'Es')",65.0
196,Es,H,0.5882352941176471,"(38.0, 'Es')","(103.0, 'H')",65.0
197,H,Fm,0.5784313725490197,"(103.0, 'H')","(37.0, 'Fm')",66.0
198,Fm,H,0.5784313725490197,"(37.0, 'Fm')","(103.0, 'H')",66.0
199,H,Md,0.5686274509803921,"(103.0, 'H')","(36.0, 'Md')",67.0
200,Md,H,0.5686274509803921,"(36.0, 'Md')","(103.0, 'H')",67.0
201,H,No,0.5588235294117647,"(103.0, 'H')","(35.0, 'No')",68.0
202,No,H,0.5588235294117647,"(35.0, 'No')","(103.0, 'H')",68.0
203,H,Lr,0.5490196078431373,"(103.0, 'H')","(34.0, 'Lr')",69.0
204,Lr,H,0.5490196078431373,"(34.0, 'Lr')","(103.0, 'H')",69.0
205,He,He,0.0,"(1.0, 'He')","(1.0, 'He')",0.0
206,He,Li,0.10784313725490197,"(1.0, 'He')","(12.0, 'Li')",11.0
207,Li,He,0.10784313725490197,"(12.0, 'Li')","(1.0, 'He')",11.0
208,He,Be,0.7450980392156863,"(1.0, 'He')","(77.0, 'Be')",76.0
209,Be,He,0.7450980392156863,"(77.0, 'Be')","(1.0, 'He')",76.0
210,He,B,0.8333333333333334,"(1.0, 'He')","(86.0, 'B')",85.0
211,B,He,0.8333333333333334,"(86.0, 'B')","(1.0, 'He')",85.0
212,He,C,0.8431372549019608,"(1.0, 'He')","(95.0, 'C')",94.0
213,C,He,0.8431372549019608,"(95.0, 'C')","(1.0, 'He')",94.0
214,He,N,0.8529411764705882,"(1.0, 'He')","(100.0, 'N')",99.0
215,N,He,0.8529411764705882,"(100.0, 'N')","(1.0, 'He')",99.0
216,He,O,0.9411764705882353,"(1.0, 'He')","(101.0, 'O')",100.0
217,O,He,0.9411764705882353,"(101.0, 'O')","(1.0, 'He')",100.0
218,He,F,0.9901960784313726,"(1.0, 'He')","(102.0, 'F')",101.0
219,F,He,0.9901960784313726,"(102.0, 'F')","(1.0, 'He')",101.0
220,He,Ne,0.00980392156862745,"(1.0, 'He')","(2.0, 'Ne')",1.0
221,Ne,He,0.00980392156862745,"(2.0, 'Ne')","(1.0, 'He')",1.0
222,He,Na,0.09803921568627451,"(1.0, 'He')","(11.0, 'Na')",10.0
223,Na,He,0.09803921568627451,"(11.0, 'Na')","(1.0, 'He')",10.0
224,He,Mg,0.7058823529411765,"(1.0, 'He')","(73.0, 'Mg')",72.0
225,Mg,He,0.7058823529411765,"(73.0, 'Mg')","(1.0, 'He')",72.0
226,He,Al,0.7549019607843137,"(1.0, 'He')","(80.0, 'Al')",79.0
227,Al,He,0.7549019607843137,"(80.0, 'Al')","(1.0, 'He')",79.0
228,He,Si,0.8235294117647058,"(1.0, 'He')","(85.0, 'Si')",84.0
229,Si,He,0.8235294117647058,"(85.0, 'Si')","(1.0, 'He')",84.0
230,He,P,0.8627450980392157,"(1.0, 'He')","(90.0, 'P')",89.0
231,P,He,0.8627450980392157,"(90.0, 'P')","(1.0, 'He')",89.0
232,He,S,0.9313725490196079,"(1.0, 'He')","(94.0, 'S')",93.0
233,S,He,0.9313725490196079,"(94.0, 'S')","(1.0, 'He')",93.0
234,He,Cl,0.9803921568627451,"(1.0, 'He')","(99.0, 'Cl')",98.0
235,Cl,He,0.9803921568627451,"(99.0, 'Cl')","(1.0, 'He')",98.0
236,He,Ar,0.0196078431372549,"(1.0, 'He')","(3.0, 'Ar')",2.0
237,Ar,He,0.0196078431372549,"(3.0, 'Ar')","(1.0, 'He')",2.0
238,He,K,0.08823529411764706,"(1.0, 'He')","(10.0, 'K')",9.0
239,K,He,0.08823529411764706,"(10.0, 'K')","(1.0, 'He')",9.0
240,He,Ca,0.14705882352941177,"(1.0, 'He')","(16.0, 'Ca')",15.0
241,Ca,He,0.14705882352941177,"(16.0, 'Ca')","(1.0, 'He')",15.0
242,He,Sc,0.46078431372549017,"(1.0, 'He')","(19.0, 'Sc')",18.0
243,Sc,He,0.46078431372549017,"(19.0, 'Sc')","(1.0, 'He')",18.0
244,He,Ti,0.49019607843137253,"(1.0, 'He')","(51.0, 'Ti')",50.0
245,Ti,He,0.49019607843137253,"(51.0, 'Ti')","(1.0, 'He')",50.0
246,He,V,0.5196078431372549,"(1.0, 'He')","(54.0, 'V')",53.0
247,V,He,0.5196078431372549,"(54.0, 'V')","(1.0, 'He')",53.0
248,He,Cr,0.5294117647058824,"(1.0, 'He')","(57.0, 'Cr')",56.0
249,Cr,He,0.5294117647058824,"(57.0, 'Cr')","(1.0, 'He')",56.0
250,He,Mn,0.696078431372549,"(1.0, 'He')","(60.0, 'Mn')",59.0
251,Mn,He,0.696078431372549,"(60.0, 'Mn')","(1.0, 'He')",59.0
252,He,Fe,0.6862745098039216,"(1.0, 'He')","(61.0, 'Fe')",60.0
253,Fe,He,0.6862745098039216,"(61.0, 'Fe')","(1.0, 'He')",60.0
254,He,Co,0.6764705882352942,"(1.0, 'He')","(64.0, 'Co')",63.0
255,Co,He,0.6764705882352942,"(64.0, 'Co')","(1.0, 'He')",63.0
256,He,Ni,0.6666666666666666,"(1.0, 'He')","(67.0, 'Ni')",66.0
257,Ni,He,0.6666666666666666,"(67.0, 'Ni')","(1.0, 'He')",66.0
258,He,Cu,0.6568627450980392,"(1.0, 'He')","(72.0, 'Cu')",71.0
259,Cu,He,0.6568627450980392,"(72.0, 'Cu')","(1.0, 'He')",71.0
260,He,Zn,0.7156862745098039,"(1.0, 'He')","(76.0, 'Zn')",75.0
261,Zn,He,0.7156862745098039,"(76.0, 'Zn')","(1.0, 'He')",75.0
262,He,Ga,0.7647058823529411,"(1.0, 'He')","(81.0, 'Ga')",80.0
263,Ga,He,0.7647058823529411,"(81.0, 'Ga')","(1.0, 'He')",80.0
264,He,Ge,0.8137254901960784,"(1.0, 'He')","(84.0, 'Ge')",83.0
265,Ge,He,0.8137254901960784,"(84.0, 'Ge')","(1.0, 'He')",83.0
266,He,As,0.8725490196078431,"(1.0, 'He')","(89.0, 'As')",88.0
267,As,He,0.8725490196078431,"(89.0, 'As')","(1.0, 'He')",88.0
268,He,Se,0.9215686274509803,"(1.0, 'He')","(93.0, 'Se')",92.0
269,Se,He,0.9215686274509803,"(93.0, 'Se')","(1.0, 'He')",92.0
270,He,Br,0.9705882352941176,"(1.0, 'He')","(98.0, 'Br')",97.0
271,Br,He,0.9705882352941176,"(98.0, 'Br')","(1.0, 'He')",97.0
272,He,Kr,0.029411764705882353,"(1.0, 'He')","(4.0, 'Kr')",3.0
273,Kr,He,0.029411764705882353,"(4.0, 'Kr')","(1.0, 'He')",3.0
274,He,Rb,0.0784313725490196,"(1.0, 'He')","(9.0, 'Rb')",8.0
275,Rb,He,0.0784313725490196,"(9.0, 'Rb')","(1.0, 'He')",8.0
276,He,Sr,0.13725490196078433,"(1.0, 'He')","(15.0, 'Sr')",14.0
277,Sr,He,0.13725490196078433,"(15.0, 'Sr')","(1.0, 'He')",14.0
278,He,Y,0.19607843137254902,"(1.0, 'He')","(25.0, 'Y')",24.0
279,Y,He,0.19607843137254902,"(25.0, 'Y')","(1.0, 'He')",24.0
280,He,Zr,0.47058823529411764,"(1.0, 'He')","(49.0, 'Zr')",48.0
281,Zr,He,0.47058823529411764,"(49.0, 'Zr')","(1.0, 'He')",48.0
282,He,Nb,0.5098039215686274,"(1.0, 'He')","(53.0, 'Nb')",52.0
283,Nb,He,0.5098039215686274,"(53.0, 'Nb')","(1.0, 'He')",52.0
284,He,Mo,0.5392156862745098,"(1.0, 'He')","(56.0, 'Mo')",55.0
285,Mo,He,0.5392156862745098,"(56.0, 'Mo')","(1.0, 'He')",55.0
286,He,Tc,0.5686274509803921,"(1.0, 'He')","(59.0, 'Tc')",58.0
287,Tc,He,0.5686274509803921,"(59.0, 'Tc')","(1.0, 'He')",58.0
288,He,Ru,0.5882352941176471,"(1.0, 'He')","(62.0, 'Ru')",61.0
289,Ru,He,0.5882352941176471,"(62.0, 'Ru')","(1.0, 'He')",61.0
290,He,Rh,0.6078431372549019,"(1.0, 'He')","(65.0, 'Rh')",64.0
291,Rh,He,0.6078431372549019,"(65.0, 'Rh')","(1.0, 'He')",64.0
292,He,Pd,0.6274509803921569,"(1.0, 'He')","(69.0, 'Pd')",68.0
293,Pd,He,0.6274509803921569,"(69.0, 'Pd')","(1.0, 'He')",68.0
294,He,Ag,0.6470588235294118,"(1.0, 'He')","(71.0, 'Ag')",70.0
295,Ag,He,0.6470588235294118,"(71.0, 'Ag')","(1.0, 'He')",70.0
296,He,Cd,0.7254901960784313,"(1.0, 'He')","(75.0, 'Cd')",74.0
297,Cd,He,0.7254901960784313,"(75.0, 'Cd')","(1.0, 'He')",74.0
298,He,In,0.7745098039215687,"(1.0, 'He')","(79.0, 'In')",78.0
299,In,He,0.7745098039215687,"(79.0, 'In')","(1.0, 'He')",78.0
300,He,Sn,0.803921568627451,"(1.0, 'He')","(83.0, 'Sn')",82.0
301,Sn,He,0.803921568627451,"(83.0, 'Sn')","(1.0, 'He')",82.0
302,He,Sb,0.8823529411764706,"(1.0, 'He')","(88.0, 'Sb')",87.0
303,Sb,He,0.8823529411764706,"(88.0, 'Sb')","(1.0, 'He')",87.0
304,He,Te,0.9117647058823529,"(1.0, 'He')","(92.0, 'Te')",91.0
305,Te,He,0.9117647058823529,"(92.0, 'Te')","(1.0, 'He')",91.0
306,He,I,0.9607843137254902,"(1.0, 'He')","(97.0, 'I')",96.0
307,I,He,0.9607843137254902,"(97.0, 'I')","(1.0, 'He')",96.0
308,He,Xe,0.0392156862745098,"(1.0, 'He')","(5.0, 'Xe')",4.0
309,Xe,He,0.0392156862745098,"(5.0, 'Xe')","(1.0, 'He')",4.0
310,He,Cs,0.06862745098039216,"(1.0, 'He')","(8.0, 'Cs')",7.0
311,Cs,He,0.06862745098039216,"(8.0, 'Cs')","(1.0, 'He')",7.0
312,He,Ba,0.12745098039215685,"(1.0, 'He')","(14.0, 'Ba')",13.0
313,Ba,He,0.12745098039215685,"(14.0, 'Ba')","(1.0, 'He')",13.0
314,He,La,0.30392156862745096,"(1.0, 'He')","(33.0, 'La')",32.0
315,La,He,0.30392156862745096,"(33.0, 'La')","(1.0, 'He')",32.0
316,He,Ce,0.29411764705882354,"(1.0, 'He')","(32.0, 'Ce')",31.0
317,Ce,He,0.29411764705882354,"(32.0, 'Ce')","(1.0, 'He')",31.0
318,He,Pr,0.28431372549019607,"(1.0, 'He')","(31.0, 'Pr')",30.0
319,Pr,He,0.28431372549019607,"(31.0, 'Pr')","(1.0, 'He')",30.0
320,He,Nd,0.27450980392156865,"(1.0, 'He')","(30.0, 'Nd')",29.0
321,Nd,He,0.27450980392156865,"(30.0, 'Nd')","(1.0, 'He')",29.0
322,He,Pm,0.2647058823529412,"(1.0, 'He')","(29.0, 'Pm')",28.0
323,Pm,He,0.2647058823529412,"(29.0, 'Pm')","(1.0, 'He')",28.0
324,He,Sm,0.2549019607843137,"(1.0, 'He')","(28.0, 'Sm')",27.0
325,Sm,He,0.2549019607843137,"(28.0, 'Sm')","(1.0, 'He')",27.0
