,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
9908,Pa,Ir,"(46.0, 'Pa')","(66.0, 'Ir')",5.17850363786199,0.19310597615276803,0.24613358697510268,20.0
9909,Ir,U,"(66.0, 'Ir')","(45.0, 'U')",5.009952038244684,0.19960270924077864,0.3426640998882885,21.0
9910,U,Ir,"(45.0, 'U')","(66.0, 'Ir')",5.009952038244684,0.19960270924077864,0.3426640998882885,21.0
9911,Ir,Np,"(66.0, 'Ir')","(44.0, 'Np')",5.439441320078173,0.18384240975424815,0.31733562725566267,22.0
9912,Np,Ir,"(44.0, 'Np')","(66.0, 'Ir')",5.439441320078173,0.18384240975424815,0.31733562725566267,22.0
9913,Ir,Pu,"(66.0, 'Ir')","(43.0, 'Pu')",5.36658042454828,0.18633839817730352,0.36116867782253265,23.0
9914,Pu,Ir,"(43.0, 'Pu')","(66.0, 'Ir')",5.36658042454828,0.18633839817730352,0.36116867782253265,23.0
9915,Ir,Am,"(66.0, 'Ir')","(42.0, 'Am')",5.425073116815236,0.1843293128898962,0.37571412190788617,24.0
9916,Am,Ir,"(42.0, 'Am')","(66.0, 'Ir')",5.425073116815236,0.1843293128898962,0.37571412190788617,24.0
9917,Ir,Cm,"(66.0, 'Ir')","(41.0, 'Cm')",5.86077946041635,0.17062576859511447,0.2512255681880687,25.0
9918,Cm,Ir,"(41.0, 'Cm')","(66.0, 'Ir')",5.86077946041635,0.17062576859511447,0.2512255681880687,25.0
9919,Ir,Bk,"(66.0, 'Ir')","(40.0, 'Bk')",6.102818578528208,0.16385871333589044,0.18771627976402258,26.0
9920,Bk,Ir,"(40.0, 'Bk')","(66.0, 'Ir')",6.102818578528208,0.16385871333589044,0.18771627976402258,26.0
9921,Ir,Cf,"(66.0, 'Ir')","(39.0, 'Cf')",6.310232603913616,0.158472763647381,0.1953571150633681,27.0
9922,Cf,Ir,"(39.0, 'Cf')","(66.0, 'Ir')",6.310232603913616,0.158472763647381,0.1953571150633681,27.0
9923,Ir,Es,"(66.0, 'Ir')","(38.0, 'Es')",6.426905005397045,0.15559588933712915,0.1801457203089208,28.0
9924,Es,Ir,"(38.0, 'Es')","(66.0, 'Ir')",6.426905005397045,0.15559588933712915,0.1801457203089208,28.0
9925,Ir,Fm,"(66.0, 'Ir')","(37.0, 'Fm')",6.548370457072045,0.15270974764722264,0.18032109902997143,29.0
9926,Fm,Ir,"(37.0, 'Fm')","(66.0, 'Ir')",6.548370457072045,0.15270974764722264,0.18032109902997143,29.0
