,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
4890,Ge,Ru,"(84.0, 'Ge')","(62.0, 'Ru')",1.4952580007963647,0.6687809056814319,0.2707023429379107,22.0
4891,Ru,Ge,"(62.0, 'Ru')","(84.0, 'Ge')",1.4952580007963647,0.6687809056814319,0.2707023429379107,22.0
4892,Ge,Rh,"(84.0, 'Ge')","(65.0, 'Rh')",1.0038632841711204,0.9961515833559843,0.6387093357410768,19.0
4893,Rh,Ge,"(65.0, 'Rh')","(84.0, 'Ge')",1.0038632841711204,0.9961515833559843,0.6387093357410768,19.0
4894,Ge,Pd,"(84.0, 'Ge')","(69.0, 'Pd')",1.2194150903404493,0.8200652984545315,0.37728405616898597,15.0
4895,Pd,Ge,"(69.0, 'Pd')","(84.0, 'Ge')",1.2194150903404493,0.8200652984545315,0.37728405616898597,15.0
4896,Ge,Ag,"(84.0, 'Ge')","(71.0, 'Ag')",1.7192254914763254,0.5816572665760584,0.24259686222745877,13.0
4897,Ag,Ge,"(71.0, 'Ag')","(84.0, 'Ge')",1.7192254914763254,0.5816572665760584,0.24259686222745877,13.0
4898,Ge,Cd,"(84.0, 'Ge')","(75.0, 'Cd')",1.2306431668680553,0.8125832303972936,0.04088870639829397,9.0
4899,Cd,Ge,"(75.0, 'Cd')","(84.0, 'Ge')",1.2306431668680553,0.8125832303972936,0.04088870639829397,9.0
4900,Ge,In,"(84.0, 'Ge')","(79.0, 'In')",1.108663830870988,0.9019866727449568,-0.22249074856226636,5.0
4901,In,Ge,"(79.0, 'In')","(84.0, 'Ge')",1.108663830870988,0.9019866727449568,-0.22249074856226636,5.0
4902,Ge,Sn,"(84.0, 'Ge')","(83.0, 'Sn')",0.8309221610922536,1.2034821633418613,0.16031262015103198,1.0
4903,Sn,Ge,"(83.0, 'Sn')","(84.0, 'Ge')",0.8309221610922536,1.2034821633418613,0.16031262015103198,1.0
4904,Ge,Sb,"(84.0, 'Ge')","(88.0, 'Sb')",0.5702121417917346,1.7537332629532851,0.5388473260594173,4.0
4905,Sb,Ge,"(88.0, 'Sb')","(84.0, 'Ge')",0.5702121417917346,1.7537332629532851,0.5388473260594173,4.0
4906,Ge,Te,"(84.0, 'Ge')","(92.0, 'Te')",0.6646917016989743,1.5044568744336155,0.566148937407607,8.0
4907,Te,Ge,"(92.0, 'Te')","(84.0, 'Ge')",0.6646917016989743,1.5044568744336155,0.566148937407607,8.0
4908,Ge,I,"(84.0, 'Ge')","(97.0, 'I')",0.6492543317669888,1.54022846066877,0.43047275306582106,13.0
4909,I,Ge,"(97.0, 'I')","(84.0, 'Ge')",0.6492543317669888,1.54022846066877,0.43047275306582106,13.0
4910,Ge,Xe,"(84.0, 'Ge')","(5.0, 'Xe')",2.539865371202946,0.3937216560129619,0.3860654688785318,79.0
4911,Xe,Ge,"(5.0, 'Xe')","(84.0, 'Ge')",2.539865371202946,0.3937216560129619,0.3860654688785318,79.0
4912,Ge,Cs,"(84.0, 'Ge')","(8.0, 'Cs')",1.0843829151896034,0.9221834704258052,0.04091037998053362,76.0
4913,Cs,Ge,"(8.0, 'Cs')","(84.0, 'Ge')",1.0843829151896034,0.9221834704258052,0.04091037998053362,76.0
4914,Ge,Ba,"(84.0, 'Ge')","(14.0, 'Ba')",1.4651385523670049,0.6825293064498574,-0.33941646515562673,70.0
4915,Ba,Ge,"(14.0, 'Ba')","(84.0, 'Ge')",1.4651385523670049,0.6825293064498574,-0.33941646515562673,70.0
4916,Ge,La,"(84.0, 'Ge')","(33.0, 'La')",1.6418587008316845,0.6090658102877241,-0.5801402687360361,51.0
4917,La,Ge,"(33.0, 'La')","(84.0, 'Ge')",1.6418587008316845,0.6090658102877241,-0.5801402687360361,51.0
4918,Ge,Ce,"(84.0, 'Ge')","(32.0, 'Ce')",1.3765798651527241,0.7264380551498589,-0.4782562424878412,52.0
4919,Ce,Ge,"(32.0, 'Ce')","(84.0, 'Ge')",1.3765798651527241,0.7264380551498589,-0.4782562424878412,52.0
4920,Ge,Pr,"(84.0, 'Ge')","(31.0, 'Pr')",1.5592712801965645,0.6413252220447094,-0.49867872535918867,53.0
4921,Pr,Ge,"(31.0, 'Pr')","(84.0, 'Ge')",1.5592712801965645,0.6413252220447094,-0.49867872535918867,53.0
4922,Ge,Nd,"(84.0, 'Ge')","(30.0, 'Nd')",1.5542879128974292,0.6433814428472572,-0.4997672442149613,54.0
