,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
0,H,H,"(103.0, 'H')","(103.0, 'H')",0.0,inf,1.0,0.0
1,H,He,"(103.0, 'H')","(1.0, 'He')",1.5691385952533907,0.6372923354412272,0.5594258831281738,102.0
2,He,H,"(1.0, 'He')","(103.0, 'H')",1.5691385952533907,0.6372923354412272,0.5594258831281738,102.0
3,H,Li,"(103.0, 'H')","(12.0, 'Li')",1.6617449053013005,0.6017770819154004,0.385985598668896,91.0
4,Li,H,"(12.0, 'Li')","(103.0, 'H')",1.6617449053013005,0.6017770819154004,0.385985598668896,91.0
5,H,Be,"(103.0, 'H')","(77.0, 'Be')",1.7571972537338136,0.5690880735643828,0.3916535852153835,26.0
6,Be,H,"(77.0, 'Be')","(103.0, 'H')",1.7571972537338136,0.5690880735643828,0.3916535852153835,26.0
7,H,B,"(103.0, 'H')","(86.0, 'B')",1.8278602705388274,0.5470877703935291,0.5037708061695529,17.0
8,B,H,"(86.0, 'B')","(103.0, 'H')",1.8278602705388274,0.5470877703935291,0.5037708061695529,17.0
9,H,C,"(103.0, 'H')","(95.0, 'C')",2.1884481266661466,0.4569448038612581,0.5364955530828641,8.0
10,C,H,"(95.0, 'C')","(103.0, 'H')",2.1884481266661466,0.4569448038612581,0.5364955530828641,8.0
11,H,N,"(103.0, 'H')","(100.0, 'N')",1.6800027673492781,0.595237114744643,0.5912532022795829,3.0
12,N,H,"(100.0, 'N')","(103.0, 'H')",1.6800027673492781,0.595237114744643,0.5912532022795829,3.0
13,H,O,"(103.0, 'H')","(101.0, 'O')",2.198567924463262,0.45484153064960714,-0.1399331215207341,2.0
14,O,H,"(101.0, 'O')","(103.0, 'H')",2.198567924463262,0.45484153064960714,-0.1399331215207341,2.0
15,H,F,"(103.0, 'H')","(102.0, 'F')",2.9381271271590683,0.34035286994777497,-0.3807038085993421,1.0
16,F,H,"(102.0, 'F')","(103.0, 'H')",2.9381271271590683,0.34035286994777497,-0.3807038085993421,1.0
17,H,Ne,"(103.0, 'H')","(2.0, 'Ne')",2.0208162626192134,0.49484954099878603,-0.18785230216227744,101.0
18,Ne,H,"(2.0, 'Ne')","(103.0, 'H')",2.0208162626192134,0.49484954099878603,-0.18785230216227744,101.0
19,H,Na,"(103.0, 'H')","(11.0, 'Na')",1.8518985583761816,0.5399863807210045,0.16117118994640345,92.0
20,Na,H,"(11.0, 'Na')","(103.0, 'H')",1.8518985583761816,0.5399863807210045,0.16117118994640345,92.0
21,H,Mg,"(103.0, 'H')","(73.0, 'Mg')",2.0255974464039723,0.49368150704143726,-0.304802468226201,30.0
22,Mg,H,"(73.0, 'Mg')","(103.0, 'H')",2.0255974464039723,0.49368150704143726,-0.304802468226201,30.0
23,H,Al,"(103.0, 'H')","(80.0, 'Al')",2.3232273854098318,0.4304356974612684,-0.4233115593714807,23.0
24,Al,H,"(80.0, 'Al')","(103.0, 'H')",2.3232273854098318,0.4304356974612684,-0.4233115593714807,23.0
25,H,Si,"(103.0, 'H')","(85.0, 'Si')",2.3785610501515664,0.4204222548486944,-0.7877369945332134,18.0
26,Si,H,"(85.0, 'Si')","(103.0, 'H')",2.3785610501515664,0.4204222548486944,-0.7877369945332134,18.0
27,H,P,"(103.0, 'H')","(90.0, 'P')",2.3446834934210408,0.4264967970329066,-0.5485628047086609,13.0
28,P,H,"(90.0, 'P')","(103.0, 'H')",2.3446834934210408,0.4264967970329066,-0.5485628047086609,13.0
29,H,S,"(103.0, 'H')","(94.0, 'S')",2.0581185473866417,0.48588066089282383,-0.13986141674772007,9.0
30,S,H,"(94.0, 'S')","(103.0, 'H')",2.0581185473866417,0.48588066089282383,-0.13986141674772007,9.0
31,H,Cl,"(103.0, 'H')","(99.0, 'Cl')",2.0936231201078317,0.477640885026382,-0.18386615683746788,4.0
32,Cl,H,"(99.0, 'Cl')","(103.0, 'H')",2.0936231201078317,0.477640885026382,-0.18386615683746788,4.0
33,H,Ar,"(103.0, 'H')","(3.0, 'Ar')",1.2168809473809152,0.8217730766122137,0.7386966553812494,100.0
34,Ar,H,"(3.0, 'Ar')","(103.0, 'H')",1.2168809473809152,0.8217730766122137,0.7386966553812494,100.0
35,H,K,"(103.0, 'H')","(10.0, 'K')",2.097116425020373,0.47684524715421334,-0.2055998369526073,93.0
36,K,H,"(10.0, 'K')","(103.0, 'H')",2.097116425020373,0.47684524715421334,-0.2055998369526073,93.0
37,H,Ca,"(103.0, 'H')","(16.0, 'Ca')",2.3009776892827762,0.4345978688353575,-0.3461169143130821,87.0
38,Ca,H,"(16.0, 'Ca')","(103.0, 'H')",2.3009776892827762,0.4345978688353575,-0.3461169143130821,87.0
39,H,Sc,"(103.0, 'H')","(19.0, 'Sc')",2.0893743920687955,0.478612164385651,-0.009991625154543257,84.0
40,Sc,H,"(19.0, 'Sc')","(103.0, 'H')",2.0893743920687955,0.478612164385651,-0.009991625154543257,84.0
41,H,Ti,"(103.0, 'H')","(51.0, 'Ti')",2.1241626318479074,0.47077374632565383,-0.10531459598365384,52.0
42,Ti,H,"(51.0, 'Ti')","(103.0, 'H')",2.1241626318479074,0.47077374632565383,-0.10531459598365384,52.0
43,H,V,"(103.0, 'H')","(54.0, 'V')",2.124919616834158,0.47060603708382354,-0.11336692333277373,49.0
44,V,H,"(54.0, 'V')","(103.0, 'H')",2.124919616834158,0.47060603708382354,-0.11336692333277373,49.0
45,H,Cr,"(103.0, 'H')","(57.0, 'Cr')",1.9597660153935477,0.510264997017609,0.17019436688744768,46.0
46,Cr,H,"(57.0, 'Cr')","(103.0, 'H')",1.9597660153935477,0.510264997017609,0.17019436688744768,46.0
47,H,Mn,"(103.0, 'H')","(60.0, 'Mn')",1.8669814292759501,0.5356239672870332,0.15656199853978922,43.0
48,Mn,H,"(60.0, 'Mn')","(103.0, 'H')",1.8669814292759501,0.5356239672870332,0.15656199853978922,43.0
49,H,Fe,"(103.0, 'H')","(61.0, 'Fe')",1.883296810540356,0.5309837485006306,0.28333195283198276,42.0
50,Fe,H,"(61.0, 'Fe')","(103.0, 'H')",1.883296810540356,0.5309837485006306,0.28333195283198276,42.0
51,H,Co,"(103.0, 'H')","(64.0, 'Co')",1.5590234102498934,0.6414271866768899,0.5577026838509139,39.0
52,Co,H,"(64.0, 'Co')","(103.0, 'H')",1.5590234102498934,0.6414271866768899,0.5577026838509139,39.0
53,H,Ni,"(103.0, 'H')","(67.0, 'Ni')",1.5739380946672688,0.6353490034888574,0.5554144542501025,36.0
54,Ni,H,"(67.0, 'Ni')","(103.0, 'H')",1.5739380946672688,0.6353490034888574,0.5554144542501025,36.0
55,H,Cu,"(103.0, 'H')","(72.0, 'Cu')",1.154795179779876,0.8659544285512323,0.7712996283724987,31.0
56,Cu,H,"(72.0, 'Cu')","(103.0, 'H')",1.154795179779876,0.8659544285512323,0.7712996283724987,31.0
57,H,Zn,"(103.0, 'H')","(76.0, 'Zn')",1.3146378196509134,0.7606657780966154,0.6997313364074579,27.0
58,Zn,H,"(76.0, 'Zn')","(103.0, 'H')",1.3146378196509134,0.7606657780966154,0.6997313364074579,27.0
59,H,Ga,"(103.0, 'H')","(81.0, 'Ga')",1.7156778749986104,0.5828599963736257,0.3497715009480329,22.0
60,Ga,H,"(81.0, 'Ga')","(103.0, 'H')",1.7156778749986104,0.5828599963736257,0.3497715009480329,22.0
61,H,Ge,"(103.0, 'H')","(84.0, 'Ge')",1.833827523743089,0.5453075532200898,0.13201155712593035,19.0
62,Ge,H,"(84.0, 'Ge')","(103.0, 'H')",1.833827523743089,0.5453075532200898,0.13201155712593035,19.0
63,H,As,"(103.0, 'H')","(89.0, 'As')",1.9052397364565279,0.5248683306699535,0.01839538608282143,14.0
64,As,H,"(89.0, 'As')","(103.0, 'H')",1.9052397364565279,0.5248683306699535,0.01839538608282143,14.0
65,H,Se,"(103.0, 'H')","(93.0, 'Se')",1.709790591875665,0.5848669449648717,0.3066362205689404,10.0
66,Se,H,"(93.0, 'Se')","(103.0, 'H')",1.709790591875665,0.5848669449648717,0.3066362205689404,10.0
67,H,Br,"(103.0, 'H')","(98.0, 'Br')",1.8478824096921633,0.5411599757403335,0.10575547758187866,5.0
68,Br,H,"(98.0, 'Br')","(103.0, 'H')",1.8478824096921633,0.5411599757403335,0.10575547758187866,5.0
69,H,Kr,"(103.0, 'H')","(4.0, 'Kr')",1.2740677228731923,0.7848876335591227,0.7901211836410764,99.0
70,Kr,H,"(4.0, 'Kr')","(103.0, 'H')",1.2740677228731923,0.7848876335591227,0.7901211836410764,99.0
71,H,Rb,"(103.0, 'H')","(9.0, 'Rb')",2.21046545264421,0.4523934082768753,-0.3149963761571795,94.0
72,Rb,H,"(9.0, 'Rb')","(103.0, 'H')",2.21046545264421,0.4523934082768753,-0.3149963761571795,94.0
73,H,Sr,"(103.0, 'H')","(15.0, 'Sr')",2.5644173547744167,0.38995212621619724,-0.5893478030087707,88.0
74,Sr,H,"(15.0, 'Sr')","(103.0, 'H')",2.5644173547744167,0.38995212621619724,-0.5893478030087707,88.0
75,H,Y,"(103.0, 'H')","(25.0, 'Y')",2.592938381264152,0.38566284768883075,-0.49931550802133295,78.0
76,Y,H,"(25.0, 'Y')","(103.0, 'H')",2.592938381264152,0.38566284768883075,-0.49931550802133295,78.0
77,H,Zr,"(103.0, 'H')","(49.0, 'Zr')",2.3528013431339616,0.42502525889754345,-0.35618144244467403,54.0
78,Zr,H,"(49.0, 'Zr')","(103.0, 'H')",2.3528013431339616,0.42502525889754345,-0.35618144244467403,54.0
79,H,Nb,"(103.0, 'H')","(53.0, 'Nb')",2.1422179784937003,0.46680590399262245,-0.1348767835236056,50.0
80,Nb,H,"(53.0, 'Nb')","(103.0, 'H')",2.1422179784937003,0.46680590399262245,-0.1348767835236056,50.0
81,H,Mo,"(103.0, 'H')","(56.0, 'Mo')",2.145519838901304,0.46608751029404993,-0.08771811796773318,47.0
82,Mo,H,"(56.0, 'Mo')","(103.0, 'H')",2.145519838901304,0.46608751029404993,-0.08771811796773318,47.0
83,H,Tc,"(103.0, 'H')","(59.0, 'Tc')",2.113230758237854,0.47320908807605255,0.09106497934377568,44.0
84,Tc,H,"(59.0, 'Tc')","(103.0, 'H')",2.113230758237854,0.47320908807605255,0.09106497934377568,44.0
85,H,Ru,"(103.0, 'H')","(62.0, 'Ru')",1.9766514094915375,0.5059060971490336,0.3113233730684593,41.0
86,Ru,H,"(62.0, 'Ru')","(103.0, 'H')",1.9766514094915375,0.5059060971490336,0.3113233730684593,41.0
87,H,Rh,"(103.0, 'H')","(65.0, 'Rh')",2.061974009492743,0.48497216521463604,0.12538072068143963,38.0
88,Rh,H,"(65.0, 'Rh')","(103.0, 'H')",2.061974009492743,0.48497216521463604,0.12538072068143963,38.0
89,H,Pd,"(103.0, 'H')","(69.0, 'Pd')",1.5742045662059492,0.6352414555689788,0.5182143862155557,34.0
90,Pd,H,"(69.0, 'Pd')","(103.0, 'H')",1.5742045662059492,0.6352414555689788,0.5182143862155557,34.0
91,H,Ag,"(103.0, 'H')","(71.0, 'Ag')",1.1477942292537882,0.8712363022160574,0.7890027450316341,32.0
92,Ag,H,"(71.0, 'Ag')","(103.0, 'H')",1.1477942292537882,0.8712363022160574,0.7890027450316341,32.0
93,H,Cd,"(103.0, 'H')","(75.0, 'Cd')",1.2151517726958831,0.8229424689736026,0.7457509714145701,28.0
94,Cd,H,"(75.0, 'Cd')","(103.0, 'H')",1.2151517726958831,0.8229424689736026,0.7457509714145701,28.0
95,H,In,"(103.0, 'H')","(79.0, 'In')",1.74243501668099,0.5739094947166589,0.2750454898748314,24.0
96,In,H,"(79.0, 'In')","(103.0, 'H')",1.74243501668099,0.5739094947166589,0.2750454898748314,24.0
97,H,Sn,"(103.0, 'H')","(83.0, 'Sn')",2.007450821884244,0.4981442081163287,-0.11672659053001269,20.0
98,Sn,H,"(83.0, 'Sn')","(103.0, 'H')",2.007450821884244,0.4981442081163287,-0.11672659053001269,20.0
99,H,Sb,"(103.0, 'H')","(88.0, 'Sb')",1.9651548753034693,0.5088657451721584,-0.19545946289482705,15.0
100,Sb,H,"(88.0, 'Sb')","(103.0, 'H')",1.9651548753034693,0.5088657451721584,-0.19545946289482705,15.0
101,H,Te,"(103.0, 'H')","(92.0, 'Te')",1.8932822626770816,0.5281832612671342,0.025817717331304182,11.0
102,Te,H,"(92.0, 'Te')","(103.0, 'H')",1.8932822626770816,0.5281832612671342,0.025817717331304182,11.0
103,H,I,"(103.0, 'H')","(97.0, 'I')",1.701926783324356,0.5875693418765702,0.3110653626069534,6.0
104,I,H,"(97.0, 'I')","(103.0, 'H')",1.701926783324356,0.5875693418765702,0.3110653626069534,6.0
105,H,Xe,"(103.0, 'H')","(5.0, 'Xe')",2.1279771160000016,0.46992986554278304,0.5856759161935231,98.0
106,Xe,H,"(5.0, 'Xe')","(103.0, 'H')",2.1279771160000016,0.46992986554278304,0.5856759161935231,98.0
107,H,Cs,"(103.0, 'H')","(8.0, 'Cs')",2.340134820262643,0.42732580676175136,-0.3272816654340623,95.0
108,Cs,H,"(8.0, 'Cs')","(103.0, 'H')",2.340134820262643,0.42732580676175136,-0.3272816654340623,95.0
109,H,Ba,"(103.0, 'H')","(14.0, 'Ba')",2.8398443491689846,0.35213197522344036,-0.7238976005473273,89.0
110,Ba,H,"(14.0, 'Ba')","(103.0, 'H')",2.8398443491689846,0.35213197522344036,-0.7238976005473273,89.0
111,H,La,"(103.0, 'H')","(33.0, 'La')",2.8752068080085564,0.3478010685056169,-0.6762840174195581,70.0
112,La,H,"(33.0, 'La')","(103.0, 'H')",2.8752068080085564,0.3478010685056169,-0.6762840174195581,70.0
113,H,Ce,"(103.0, 'H')","(32.0, 'Ce')",2.6413380571966045,0.37859599125352184,-0.607724610217808,71.0
114,Ce,H,"(32.0, 'Ce')","(103.0, 'H')",2.6413380571966045,0.37859599125352184,-0.607724610217808,71.0
115,H,Pr,"(103.0, 'H')","(31.0, 'Pr')",2.8584216323196743,0.34984342012150155,-0.7095089074236873,72.0
116,Pr,H,"(31.0, 'Pr')","(103.0, 'H')",2.8584216323196743,0.34984342012150155,-0.7095089074236873,72.0
117,H,Nd,"(103.0, 'H')","(30.0, 'Nd')",2.8567657412054874,0.3500462028006622,-0.716185164179647,73.0
118,Nd,H,"(30.0, 'Nd')","(103.0, 'H')",2.8567657412054874,0.3500462028006622,-0.716185164179647,73.0
119,H,Pm,"(103.0, 'H')","(29.0, 'Pm')",2.714128715944318,0.3684423638884323,-0.6223027304050499,74.0
120,Pm,H,"(29.0, 'Pm')","(103.0, 'H')",2.714128715944318,0.3684423638884323,-0.6223027304050499,74.0
121,H,Sm,"(103.0, 'H')","(28.0, 'Sm')",2.788178156213869,0.35865713880992556,-0.6874736562652705,75.0
122,Sm,H,"(28.0, 'Sm')","(103.0, 'H')",2.788178156213869,0.35865713880992556,-0.6874736562652705,75.0
123,H,Eu,"(103.0, 'H')","(18.0, 'Eu')",2.613884361975099,0.3825723947651539,-0.5469751669254905,85.0
124,Eu,H,"(18.0, 'Eu')","(103.0, 'H')",2.613884361975099,0.3825723947651539,-0.5469751669254905,85.0
125,H,Gd,"(103.0, 'H')","(27.0, 'Gd')",2.664122935939395,0.37535805368057856,-0.6499716970448275,76.0
126,Gd,H,"(27.0, 'Gd')","(103.0, 'H')",2.664122935939395,0.37535805368057856,-0.6499716970448275,76.0
127,H,Tb,"(103.0, 'H')","(26.0, 'Tb')",2.637574872471016,0.37913615664041733,-0.503151493989057,77.0
128,Tb,H,"(26.0, 'Tb')","(103.0, 'H')",2.637574872471016,0.37913615664041733,-0.503151493989057,77.0
129,H,Dy,"(103.0, 'H')","(24.0, 'Dy')",2.6318765347576467,0.3799570332398149,-0.5095841733864945,79.0
130,Dy,H,"(24.0, 'Dy')","(103.0, 'H')",2.6318765347576467,0.3799570332398149,-0.5095841733864945,79.0
131,H,Ho,"(103.0, 'H')","(23.0, 'Ho')",2.6243384807003136,0.3810484079527526,-0.5263359251942122,80.0
132,Ho,H,"(23.0, 'Ho')","(103.0, 'H')",2.6243384807003136,0.3810484079527526,-0.5263359251942122,80.0
133,H,Er,"(103.0, 'H')","(22.0, 'Er')",2.5349746021160664,0.3944812698183451,-0.39606918887038045,81.0
134,Er,H,"(22.0, 'Er')","(103.0, 'H')",2.5349746021160664,0.3944812698183451,-0.39606918887038045,81.0
135,H,Tm,"(103.0, 'H')","(21.0, 'Tm')",2.51778528907157,0.39717445500237575,-0.37783294877582563,82.0
136,Tm,H,"(21.0, 'Tm')","(103.0, 'H')",2.51778528907157,0.39717445500237575,-0.37783294877582563,82.0
137,H,Yb,"(103.0, 'H')","(17.0, 'Yb')",2.2741683362066842,0.43972118689683337,-0.16623442004877376,86.0
138,Yb,H,"(17.0, 'Yb')","(103.0, 'H')",2.2741683362066842,0.43972118689683337,-0.16623442004877376,86.0
139,H,Lu,"(103.0, 'H')","(20.0, 'Lu')",2.4964824833225685,0.40056359565123006,-0.3381626654439799,83.0
140,Lu,H,"(20.0, 'Lu')","(103.0, 'H')",2.4964824833225685,0.40056359565123006,-0.3381626654439799,83.0
141,H,Hf,"(103.0, 'H')","(50.0, 'Hf')",2.541520156346894,0.3934653036304739,-0.2808761790826187,53.0
142,Hf,H,"(50.0, 'Hf')","(103.0, 'H')",2.541520156346894,0.3934653036304739,-0.2808761790826187,53.0
143,H,Ta,"(103.0, 'H')","(52.0, 'Ta')",2.3500102065669055,0.42553006672293775,-0.1617837387441749,51.0
144,Ta,H,"(52.0, 'Ta')","(103.0, 'H')",2.3500102065669055,0.42553006672293775,-0.1617837387441749,51.0
145,H,W,"(103.0, 'H')","(55.0, 'W')",2.3834153238070015,0.41956598584031574,-0.14432016307211376,48.0
146,W,H,"(55.0, 'W')","(103.0, 'H')",2.3834153238070015,0.41956598584031574,-0.14432016307211376,48.0
147,H,Re,"(103.0, 'H')","(58.0, 'Re')",2.206169077684631,0.45327441587092565,0.19388737875299045,45.0
148,Re,H,"(58.0, 'Re')","(103.0, 'H')",2.206169077684631,0.45327441587092565,0.19388737875299045,45.0
149,H,Os,"(103.0, 'H')","(63.0, 'Os')",2.082005476445914,0.4803061333474729,0.3686873134145395,40.0
150,Os,H,"(63.0, 'Os')","(103.0, 'H')",2.082005476445914,0.4803061333474729,0.3686873134145395,40.0
151,H,Ir,"(103.0, 'H')","(66.0, 'Ir')",2.2093685337041298,0.45261801494178255,-0.0003418145993709515,37.0
152,Ir,H,"(66.0, 'Ir')","(103.0, 'H')",2.2093685337041298,0.45261801494178255,-0.0003418145993709515,37.0
153,H,Pt,"(103.0, 'H')","(68.0, 'Pt')",1.850573812404515,0.5403729336797786,0.26102015357403213,35.0
154,Pt,H,"(68.0, 'Pt')","(103.0, 'H')",1.850573812404515,0.5403729336797786,0.26102015357403213,35.0
155,H,Au,"(103.0, 'H')","(70.0, 'Au')",1.0699877796907673,0.9345901130655958,0.8081870507822302,33.0
156,Au,H,"(70.0, 'Au')","(103.0, 'H')",1.0699877796907673,0.9345901130655958,0.8081870507822302,33.0
157,H,Hg,"(103.0, 'H')","(74.0, 'Hg')",1.0223754196848616,0.9781142824308524,0.8453396974906406,29.0
158,Hg,H,"(74.0, 'Hg')","(103.0, 'H')",1.0223754196848616,0.9781142824308524,0.8453396974906406,29.0
159,H,Tl,"(103.0, 'H')","(78.0, 'Tl')",1.0395339682691611,0.9619695272344148,0.8809047596856847,25.0
160,Tl,H,"(78.0, 'Tl')","(103.0, 'H')",1.0395339682691611,0.9619695272344148,0.8809047596856847,25.0
161,H,Pb,"(103.0, 'H')","(82.0, 'Pb')",1.3325859952300405,0.7504206134384392,0.8554587874381789,21.0
162,Pb,H,"(82.0, 'Pb')","(103.0, 'H')",1.3325859952300405,0.7504206134384392,0.8554587874381789,21.0
163,H,Bi,"(103.0, 'H')","(87.0, 'Bi')",1.7253110530123126,0.5796056301001762,0.2916580247648908,16.0
164,Bi,H,"(87.0, 'Bi')","(103.0, 'H')",1.7253110530123126,0.5796056301001762,0.2916580247648908,16.0
165,H,Po,"(103.0, 'H')","(91.0, 'Po')",1.795151447129312,0.5570560643221129,0.016699288675123748,12.0
166,Po,H,"(91.0, 'Po')","(103.0, 'H')",1.795151447129312,0.5570560643221129,0.016699288675123748,12.0
167,H,At,"(103.0, 'H')","(96.0, 'At')",1.815926496663453,0.5506830820726389,-0.20463294683982602,7.0
168,At,H,"(96.0, 'At')","(103.0, 'H')",1.815926496663453,0.5506830820726389,-0.20463294683982602,7.0
169,H,Rn,"(103.0, 'H')","(6.0, 'Rn')",1.8191737382644786,0.5497001077830072,-0.2149156761917789,97.0
170,Rn,H,"(6.0, 'Rn')","(103.0, 'H')",1.8191737382644786,0.5497001077830072,-0.2149156761917789,97.0
171,H,Fr,"(103.0, 'H')","(7.0, 'Fr')",1.800684679933677,0.5553443149395996,-0.027964554856970303,96.0
172,Fr,H,"(7.0, 'Fr')","(103.0, 'H')",1.800684679933677,0.5553443149395996,-0.027964554856970303,96.0
173,H,Ra,"(103.0, 'H')","(13.0, 'Ra')",1.8137371125336281,0.5513478183192103,-0.2281266140322997,90.0
174,Ra,H,"(13.0, 'Ra')","(103.0, 'H')",1.8137371125336281,0.5513478183192103,-0.2281266140322997,90.0
175,H,Ac,"(103.0, 'H')","(48.0, 'Ac')",3.2176157014517943,0.3107891348083608,-0.6027315496203742,55.0
176,Ac,H,"(48.0, 'Ac')","(103.0, 'H')",3.2176157014517943,0.3107891348083608,-0.6027315496203742,55.0
177,H,Th,"(103.0, 'H')","(47.0, 'Th')",3.0318203343658228,0.3298348482807355,-0.5999669772051142,56.0
178,Th,H,"(47.0, 'Th')","(103.0, 'H')",3.0318203343658228,0.3298348482807355,-0.5999669772051142,56.0
179,H,Pa,"(103.0, 'H')","(46.0, 'Pa')",2.790001668518817,0.35842272471861625,-0.23455734434146508,57.0
180,Pa,H,"(46.0, 'Pa')","(103.0, 'H')",2.790001668518817,0.35842272471861625,-0.23455734434146508,57.0
181,H,U,"(103.0, 'H')","(45.0, 'U')",2.7054900674616658,0.36961880290257954,-0.48547711670690824,58.0
182,U,H,"(45.0, 'U')","(103.0, 'H')",2.7054900674616658,0.36961880290257954,-0.48547711670690824,58.0
183,H,Np,"(103.0, 'H')","(44.0, 'Np')",2.730046178212738,0.36629417039922146,-0.4773130976748089,59.0
184,Np,H,"(44.0, 'Np')","(103.0, 'H')",2.730046178212738,0.36629417039922146,-0.4773130976748089,59.0
185,H,Pu,"(103.0, 'H')","(43.0, 'Pu')",2.8133345850579348,0.35545007881791174,-0.7477931295022148,60.0
186,Pu,H,"(43.0, 'Pu')","(103.0, 'H')",2.8133345850579348,0.35545007881791174,-0.7477931295022148,60.0
187,He,He,"(1.0, 'He')","(1.0, 'He')",0.0,inf,1.0,0.0
188,He,Li,"(1.0, 'He')","(12.0, 'Li')",0.66695581766237,1.4993496923153393,0.5719474826758486,11.0
189,Li,He,"(12.0, 'Li')","(1.0, 'He')",0.66695581766237,1.4993496923153393,0.5719474826758486,11.0
190,He,Be,"(1.0, 'He')","(77.0, 'Be')",0.9663683644837138,1.034802086608303,0.6365651585185886,76.0
191,Be,He,"(77.0, 'Be')","(1.0, 'He')",0.9663683644837138,1.034802086608303,0.6365651585185886,76.0
192,He,B,"(1.0, 'He')","(86.0, 'B')",1.6655469763769422,0.6004033594869213,0.3235892677256156,85.0
193,B,He,"(86.0, 'B')","(1.0, 'He')",1.6655469763769422,0.6004033594869213,0.3235892677256156,85.0
194,He,C,"(1.0, 'He')","(95.0, 'C')",2.420534680312463,0.4131318622011693,0.20017706147556974,94.0
195,C,He,"(95.0, 'C')","(1.0, 'He')",2.420534680312463,0.4131318622011693,0.20017706147556974,94.0
196,He,N,"(1.0, 'He')","(100.0, 'N')",1.9809659271944555,0.5048042403315087,0.07544171269560179,99.0
197,N,He,"(100.0, 'N')","(1.0, 'He')",1.9809659271944555,0.5048042403315087,0.07544171269560179,99.0
198,He,O,"(1.0, 'He')","(101.0, 'O')",1.2194130435770545,0.820066674919744,-0.0020081556555371916,100.0
199,O,He,"(101.0, 'O')","(1.0, 'He')",1.2194130435770545,0.820066674919744,-0.0020081556555371916,100.0
200,He,F,"(1.0, 'He')","(102.0, 'F')",1.8876306821731954,0.529764645936311,-0.08757317645097856,101.0
201,F,He,"(102.0, 'F')","(1.0, 'He')",1.8876306821731954,0.529764645936311,-0.08757317645097856,101.0
202,He,Ne,"(1.0, 'He')","(2.0, 'Ne')",0.7327258255225431,1.3647669635321649,0.2193181160573624,1.0
203,Ne,He,"(2.0, 'Ne')","(1.0, 'He')",0.7327258255225431,1.3647669635321649,0.2193181160573624,1.0
204,He,Na,"(1.0, 'He')","(11.0, 'Na')",0.6459813899701479,1.5480322119592518,0.5694894099603566,10.0
205,Na,He,"(11.0, 'Na')","(1.0, 'He')",0.6459813899701479,1.5480322119592518,0.5694894099603566,10.0
206,He,Mg,"(1.0, 'He')","(73.0, 'Mg')",0.7899728895764788,1.2658662255310067,-0.0936806665783323,72.0
207,Mg,He,"(73.0, 'Mg')","(1.0, 'He')",0.7899728895764788,1.2658662255310067,-0.0936806665783323,72.0
208,He,Al,"(1.0, 'He')","(80.0, 'Al')",1.1741850243528464,0.8516545342171701,-0.27932975222955037,79.0
209,Al,He,"(80.0, 'Al')","(1.0, 'He')",1.1741850243528464,0.8516545342171701,-0.27932975222955037,79.0
210,He,Si,"(1.0, 'He')","(85.0, 'Si')",1.0354224006271533,0.9657894202349707,-0.4504127457715163,84.0
211,Si,He,"(85.0, 'Si')","(1.0, 'He')",1.0354224006271533,0.9657894202349707,-0.4504127457715163,84.0
212,He,P,"(1.0, 'He')","(90.0, 'P')",1.1266992475192534,0.8875482984494597,-0.3852272493567679,89.0
213,P,He,"(90.0, 'P')","(1.0, 'He')",1.1266992475192534,0.8875482984494597,-0.3852272493567679,89.0
214,He,S,"(1.0, 'He')","(94.0, 'S')",1.1592326484507258,0.8626396102080676,-0.3788315676741948,93.0
215,S,He,"(94.0, 'S')","(1.0, 'He')",1.1592326484507258,0.8626396102080676,-0.3788315676741948,93.0
216,He,Cl,"(1.0, 'He')","(99.0, 'Cl')",1.041780186510673,0.9598953915118974,-0.11660299595823015,98.0
217,Cl,He,"(99.0, 'Cl')","(1.0, 'He')",1.041780186510673,0.9598953915118974,-0.11660299595823015,98.0
218,He,Ar,"(1.0, 'He')","(3.0, 'Ar')",1.015354485358068,0.9848777096280288,0.5315445751135575,2.0
219,Ar,He,"(3.0, 'Ar')","(1.0, 'He')",1.015354485358068,0.9848777096280288,0.5315445751135575,2.0
220,He,K,"(1.0, 'He')","(10.0, 'K')",0.8023607085343709,1.2463222455479483,0.26510676101653335,9.0
221,K,He,"(10.0, 'K')","(1.0, 'He')",0.8023607085343709,1.2463222455479483,0.26510676101653335,9.0
222,He,Ca,"(1.0, 'He')","(16.0, 'Ca')",1.0568995983033438,0.9461636673959518,0.049049327340918186,15.0
223,Ca,He,"(16.0, 'Ca')","(1.0, 'He')",1.0568995983033438,0.9461636673959518,0.049049327340918186,15.0
224,He,Sc,"(1.0, 'He')","(19.0, 'Sc')",1.184878221767756,0.8439685881879654,-0.06113094583285217,18.0
225,Sc,He,"(19.0, 'Sc')","(1.0, 'He')",1.184878221767756,0.8439685881879654,-0.06113094583285217,18.0
226,He,Ti,"(1.0, 'He')","(51.0, 'Ti')",1.0716959073853645,0.9331005121030254,0.011500729462476406,50.0
227,Ti,He,"(51.0, 'Ti')","(1.0, 'He')",1.0716959073853645,0.9331005121030254,0.011500729462476406,50.0
228,He,V,"(1.0, 'He')","(54.0, 'V')",1.0335807408936584,0.9675102877162517,0.0517890865418863,53.0
