,ele_1,ele_2,pearson_corr,mend_1,mend_2,mend_diff
207,Li,He,0.6279114452321193,"(12.0, 'Li')","(1.0, 'He')",11.0
208,He,Be,0.5072732767282833,"(1.0, 'He')","(77.0, 'Be')",76.0
209,Be,He,0.5072732767282833,"(77.0, 'Be')","(1.0, 'He')",76.0
210,He,B,0.31491967858174597,"(1.0, 'He')","(86.0, 'B')",85.0
211,B,He,0.31491967858174597,"(86.0, 'B')","(1.0, 'He')",85.0
212,He,C,0.7681988016091084,"(1.0, 'He')","(95.0, 'C')",94.0
213,C,He,0.7681988016091084,"(95.0, 'C')","(1.0, 'He')",94.0
214,He,N,0.6983271742213413,"(1.0, 'He')","(100.0, 'N')",99.0
215,N,He,0.6983271742213413,"(100.0, 'N')","(1.0, 'He')",99.0
216,He,O,0.7517136164996758,"(1.0, 'He')","(101.0, 'O')",100.0
217,O,He,0.7517136164996758,"(101.0, 'O')","(1.0, 'He')",100.0
218,He,F,0.7458359997917425,"(1.0, 'He')","(102.0, 'F')",101.0
219,F,He,0.7458359997917425,"(102.0, 'F')","(1.0, 'He')",101.0
220,He,Ne,0.9495923122912695,"(1.0, 'He')","(2.0, 'Ne')",1.0
221,Ne,He,0.9495923122912695,"(2.0, 'Ne')","(1.0, 'He')",1.0
222,He,Na,0.6220226892784615,"(1.0, 'He')","(11.0, 'Na')",10.0
223,Na,He,0.6220226892784615,"(11.0, 'Na')","(1.0, 'He')",10.0
224,He,Mg,0.3982905072674089,"(1.0, 'He')","(73.0, 'Mg')",72.0
225,Mg,He,0.3982905072674089,"(73.0, 'Mg')","(1.0, 'He')",72.0
226,He,Al,0.39631980415139956,"(1.0, 'He')","(80.0, 'Al')",79.0
227,Al,He,0.39631980415139956,"(80.0, 'Al')","(1.0, 'He')",79.0
228,He,Si,0.5986888754153812,"(1.0, 'He')","(85.0, 'Si')",84.0
229,Si,He,0.5986888754153812,"(85.0, 'Si')","(1.0, 'He')",84.0
230,He,P,0.5853641174534683,"(1.0, 'He')","(90.0, 'P')",89.0
231,P,He,0.5853641174534683,"(90.0, 'P')","(1.0, 'He')",89.0
232,He,S,0.6402479058376802,"(1.0, 'He')","(94.0, 'S')",93.0
233,S,He,0.6402479058376802,"(94.0, 'S')","(1.0, 'He')",93.0
234,He,Cl,0.8135886771890662,"(1.0, 'He')","(99.0, 'Cl')",98.0
235,Cl,He,0.8135886771890662,"(99.0, 'Cl')","(1.0, 'He')",98.0
236,He,Ar,0.9236153059200471,"(1.0, 'He')","(3.0, 'Ar')",2.0
237,Ar,He,0.9236153059200471,"(3.0, 'Ar')","(1.0, 'He')",2.0
238,He,K,0.7737694653860636,"(1.0, 'He')","(10.0, 'K')",9.0
239,K,He,0.7737694653860636,"(10.0, 'K')","(1.0, 'He')",9.0
240,He,Ca,0.28389421160408534,"(1.0, 'He')","(16.0, 'Ca')",15.0
241,Ca,He,0.28389421160408534,"(16.0, 'Ca')","(1.0, 'He')",15.0
242,He,Sc,-0.031358351145815935,"(1.0, 'He')","(19.0, 'Sc')",18.0
243,Sc,He,-0.031358351145815935,"(19.0, 'Sc')","(1.0, 'He')",18.0
244,He,Ti,0.19223069138725096,"(1.0, 'He')","(51.0, 'Ti')",50.0
245,Ti,He,0.19223069138725096,"(51.0, 'Ti')","(1.0, 'He')",50.0
246,He,V,0.34953715215119463,"(1.0, 'He')","(54.0, 'V')",53.0
247,V,He,0.34953715215119463,"(54.0, 'V')","(1.0, 'He')",53.0
248,He,Cr,0.2237491052685437,"(1.0, 'He')","(57.0, 'Cr')",56.0
249,Cr,He,0.2237491052685437,"(57.0, 'Cr')","(1.0, 'He')",56.0
250,He,Mn,0.20444019984145723,"(1.0, 'He')","(60.0, 'Mn')",59.0
251,Mn,He,0.20444019984145723,"(60.0, 'Mn')","(1.0, 'He')",59.0
252,He,Fe,0.143905588749568,"(1.0, 'He')","(61.0, 'Fe')",60.0
253,Fe,He,0.143905588749568,"(61.0, 'Fe')","(1.0, 'He')",60.0
254,He,Co,0.17486816268452554,"(1.0, 'He')","(64.0, 'Co')",63.0
255,Co,He,0.17486816268452554,"(64.0, 'Co')","(1.0, 'He')",63.0
256,He,Ni,0.3362607777805282,"(1.0, 'He')","(67.0, 'Ni')",66.0
257,Ni,He,0.3362607777805282,"(67.0, 'Ni')","(1.0, 'He')",66.0
258,He,Cu,0.3140502290998409,"(1.0, 'He')","(72.0, 'Cu')",71.0
259,Cu,He,0.3140502290998409,"(72.0, 'Cu')","(1.0, 'He')",71.0
260,He,Zn,0.22463030210484555,"(1.0, 'He')","(76.0, 'Zn')",75.0
261,Zn,He,0.22463030210484555,"(76.0, 'Zn')","(1.0, 'He')",75.0
262,He,Ga,0.21473679135647777,"(1.0, 'He')","(81.0, 'Ga')",80.0
263,Ga,He,0.21473679135647777,"(81.0, 'Ga')","(1.0, 'He')",80.0
264,He,Ge,0.4243559329347507,"(1.0, 'He')","(84.0, 'Ge')",83.0
265,Ge,He,0.4243559329347507,"(84.0, 'Ge')","(1.0, 'He')",83.0
266,He,As,0.38776801567438046,"(1.0, 'He')","(89.0, 'As')",88.0
267,As,He,0.38776801567438046,"(89.0, 'As')","(1.0, 'He')",88.0
268,He,Se,0.5316295088951373,"(1.0, 'He')","(93.0, 'Se')",92.0
269,Se,He,0.5316295088951373,"(93.0, 'Se')","(1.0, 'He')",92.0
270,He,Br,0.7323018021470029,"(1.0, 'He')","(98.0, 'Br')",97.0
271,Br,He,0.7323018021470029,"(98.0, 'Br')","(1.0, 'He')",97.0
272,He,Kr,0.9414456168436582,"(1.0, 'He')","(4.0, 'Kr')",3.0
273,Kr,He,0.9414456168436582,"(4.0, 'Kr')","(1.0, 'He')",3.0
274,He,Rb,0.68478012971487,"(1.0, 'He')","(9.0, 'Rb')",8.0
275,Rb,He,0.68478012971487,"(9.0, 'Rb')","(1.0, 'He')",8.0
276,He,Sr,0.32746313542400735,"(1.0, 'He')","(15.0, 'Sr')",14.0
277,Sr,He,0.32746313542400735,"(15.0, 'Sr')","(1.0, 'He')",14.0
278,He,Y,-0.03109267269159385,"(1.0, 'He')","(25.0, 'Y')",24.0
279,Y,He,-0.03109267269159385,"(25.0, 'Y')","(1.0, 'He')",24.0
280,He,Zr,0.27733823945960073,"(1.0, 'He')","(49.0, 'Zr')",48.0
281,Zr,He,0.27733823945960073,"(49.0, 'Zr')","(1.0, 'He')",48.0
282,He,Nb,0.3364059248944502,"(1.0, 'He')","(53.0, 'Nb')",52.0
283,Nb,He,0.3364059248944502,"(53.0, 'Nb')","(1.0, 'He')",52.0
284,He,Mo,0.37491978617353233,"(1.0, 'He')","(56.0, 'Mo')",55.0
285,Mo,He,0.37491978617353233,"(56.0, 'Mo')","(1.0, 'He')",55.0
286,He,Tc,0.05141577738206893,"(1.0, 'He')","(59.0, 'Tc')",58.0
287,Tc,He,0.05141577738206893,"(59.0, 'Tc')","(1.0, 'He')",58.0
288,He,Ru,0.5299630245707522,"(1.0, 'He')","(62.0, 'Ru')",61.0
289,Ru,He,0.5299630245707522,"(62.0, 'Ru')","(1.0, 'He')",61.0
290,He,Rh,0.11496547482490407,"(1.0, 'He')","(65.0, 'Rh')",64.0
291,Rh,He,0.11496547482490407,"(65.0, 'Rh')","(1.0, 'He')",64.0
292,He,Pd,0.5350464680430287,"(1.0, 'He')","(69.0, 'Pd')",68.0
293,Pd,He,0.5350464680430287,"(69.0, 'Pd')","(1.0, 'He')",68.0
294,He,Ag,0.4112429121916706,"(1.0, 'He')","(71.0, 'Ag')",70.0
295,Ag,He,0.4112429121916706,"(71.0, 'Ag')","(1.0, 'He')",70.0
296,He,Cd,0.28886631457152745,"(1.0, 'He')","(75.0, 'Cd')",74.0
297,Cd,He,0.28886631457152745,"(75.0, 'Cd')","(1.0, 'He')",74.0
298,He,In,0.2437315399635592,"(1.0, 'He')","(79.0, 'In')",78.0
299,In,He,0.2437315399635592,"(79.0, 'In')","(1.0, 'He')",78.0
300,He,Sn,0.3433635211820286,"(1.0, 'He')","(83.0, 'Sn')",82.0
301,Sn,He,0.3433635211820286,"(83.0, 'Sn')","(1.0, 'He')",82.0
302,He,Sb,0.21824231025636467,"(1.0, 'He')","(88.0, 'Sb')",87.0
303,Sb,He,0.21824231025636467,"(88.0, 'Sb')","(1.0, 'He')",87.0
304,He,Te,0.45739419781482343,"(1.0, 'He')","(92.0, 'Te')",91.0
305,Te,He,0.45739419781482343,"(92.0, 'Te')","(1.0, 'He')",91.0
306,He,I,0.6848010610614238,"(1.0, 'He')","(97.0, 'I')",96.0
307,I,He,0.6848010610614238,"(97.0, 'I')","(1.0, 'He')",96.0
308,He,Xe,0.898264224338138,"(1.0, 'He')","(5.0, 'Xe')",4.0
309,Xe,He,0.898264224338138,"(5.0, 'Xe')","(1.0, 'He')",4.0
310,He,Cs,0.7161665797911372,"(1.0, 'He')","(8.0, 'Cs')",7.0
311,Cs,He,0.7161665797911372,"(8.0, 'Cs')","(1.0, 'He')",7.0
312,He,Ba,0.31696489347160756,"(1.0, 'He')","(14.0, 'Ba')",13.0
313,Ba,He,0.31696489347160756,"(14.0, 'Ba')","(1.0, 'He')",13.0
314,He,La,0.06904460052858238,"(1.0, 'He')","(33.0, 'La')",32.0
315,La,He,0.06904460052858238,"(33.0, 'La')","(1.0, 'He')",32.0
316,He,Ce,0.06483388572922982,"(1.0, 'He')","(32.0, 'Ce')",31.0
317,Ce,He,0.06483388572922982,"(32.0, 'Ce')","(1.0, 'He')",31.0
318,He,Pr,-0.13668643445981368,"(1.0, 'He')","(31.0, 'Pr')",30.0
319,Pr,He,-0.13668643445981368,"(31.0, 'Pr')","(1.0, 'He')",30.0
320,He,Nd,0.10353046345047287,"(1.0, 'He')","(30.0, 'Nd')",29.0
321,Nd,He,0.10353046345047287,"(30.0, 'Nd')","(1.0, 'He')",29.0
322,He,Pm,-0.043073656682768705,"(1.0, 'He')","(29.0, 'Pm')",28.0
323,Pm,He,-0.043073656682768705,"(29.0, 'Pm')","(1.0, 'He')",28.0
324,He,Sm,-0.021776430669925025,"(1.0, 'He')","(28.0, 'Sm')",27.0
325,Sm,He,-0.021776430669925025,"(28.0, 'Sm')","(1.0, 'He')",27.0
326,He,Eu,0.20895356431513362,"(1.0, 'He')","(18.0, 'Eu')",17.0
327,Eu,He,0.20895356431513362,"(18.0, 'Eu')","(1.0, 'He')",17.0
328,He,Gd,-0.049069058134778076,"(1.0, 'He')","(27.0, 'Gd')",26.0
329,Gd,He,-0.049069058134778076,"(27.0, 'Gd')","(1.0, 'He')",26.0
330,He,Tb,-0.09644381402339984,"(1.0, 'He')","(26.0, 'Tb')",25.0
331,Tb,He,-0.09644381402339984,"(26.0, 'Tb')","(1.0, 'He')",25.0
332,He,Dy,-0.13916138423561797,"(1.0, 'He')","(24.0, 'Dy')",23.0
333,Dy,He,-0.13916138423561797,"(24.0, 'Dy')","(1.0, 'He')",23.0
334,He,Ho,-0.13490817081555317,"(1.0, 'He')","(23.0, 'Ho')",22.0
335,Ho,He,-0.13490817081555317,"(23.0, 'Ho')","(1.0, 'He')",22.0
336,He,Er,-0.06864230028129063,"(1.0, 'He')","(22.0, 'Er')",21.0
337,Er,He,-0.06864230028129063,"(22.0, 'Er')","(1.0, 'He')",21.0
338,He,Tm,-0.035363099703330805,"(1.0, 'He')","(21.0, 'Tm')",20.0
339,Tm,He,-0.035363099703330805,"(21.0, 'Tm')","(1.0, 'He')",20.0
340,He,Yb,0.24204965928784497,"(1.0, 'He')","(17.0, 'Yb')",16.0
341,Yb,He,0.24204965928784497,"(17.0, 'Yb')","(1.0, 'He')",16.0
342,He,Lu,-0.06553242108396336,"(1.0, 'He')","(20.0, 'Lu')",19.0
343,Lu,He,-0.06553242108396336,"(20.0, 'Lu')","(1.0, 'He')",19.0
344,He,Hf,0.3232541959142144,"(1.0, 'He')","(50.0, 'Hf')",49.0
345,Hf,He,0.3232541959142144,"(50.0, 'Hf')","(1.0, 'He')",49.0
346,He,Ta,0.44114780928989045,"(1.0, 'He')","(52.0, 'Ta')",51.0
347,Ta,He,0.44114780928989045,"(52.0, 'Ta')","(1.0, 'He')",51.0
348,He,W,0.3906652510172963,"(1.0, 'He')","(55.0, 'W')",54.0
349,W,He,0.3906652510172963,"(55.0, 'W')","(1.0, 'He')",54.0
350,He,Re,0.20868217802924624,"(1.0, 'He')","(58.0, 'Re')",57.0
351,Re,He,0.20868217802924624,"(58.0, 'Re')","(1.0, 'He')",57.0
