,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination,coordination_num,coordination_env
590,mp-11427,GdPd,Cmcm,orthorhombic,0.0,93.08067895605632,9.407630898290394,0.0,-42.07646406,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
591,mp-11428,GdPt,Pnma,orthorhombic,0.0,184.0124595790647,12.717929488683552,0.0,-90.42525528,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
592,mp-1742,GdRh,Pm-3m,cubic,0.0,41.983703252851925,10.289668077613209,0.0,-22.99723045,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
593,mp-510402,GdS,Fm-3m,cubic,0.0,43.639696951012894,7.203646573125033,0.0,-22.33421407,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
594,mp-510403,GdSb,Fm-3m,cubic,0.0,62.44432110381326,7.419521852144428,0.0,-20.53048524,3.0,-3.0,"[6, 'octahedral']",6.0,octahedral
595,mp-510404,GdSe,Fm-3m,cubic,0.0,50.52364716935813,7.763412874901705,0.0,-21.26764027,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
596,mp-601371,GdSi,Pnma,orthorhombic,0.0,178.43188261976096,6.899144562268062,0.0,-84.4535432,0.0,0.0,"[8, '7-coordinate']",8.0,7-coordinate
597,mp-574283,GdTe,Fm-3m,cubic,0.0,61.14408817840324,7.735900022597449,0.0,-20.04225598,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
598,mp-19966,GdTl,Pm-3m,cubic,0.0,57.43243758840102,10.455872110759149,0.0,-17.19865346,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
599,mp-2497,GdZn,Pm-3m,cubic,0.0,46.8818285017419,7.886509119761654,0.0,-16.05530142,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
600,mp-9548,GeAs,C2/m,monoclinic,0.0015039542708263909,305.483880406514,4.812662479027046,0.6389,-56.02791665,3.0,-3.0,"[3.5, 'tetrahedral']",3.5,tetrahedral
