Pretty Formula,M,X
MgP,P2-,Mg2+
MgP,P1-,Mg1+
AlP,P3-,Al3+
AlP,P2-,Al2+
AlP,P1-,Al1+
SiP,P3-,Si3+
SiP,P2-,Si2+
SiP,P1-,Si1+
PS,P1+,S1-
PS,P2+,S2-
PCl,P1+,Cl1-
KP,P1-,K1+
CaP,P2-,Ca2+
CaP,P1-,Ca1+
ScP,P3-,Sc3+
ScP,P2-,Sc2+
ScP,P1-,Sc1+
TiP,P3-,Ti3+
TiP,P2-,Ti2+
TiP,P1-,Ti1+
VP,P3-,V3+
VP,P2-,V2+
VP,P1-,V1+
CrP,P3-,Cr3+
CrP,P2-,Cr2+
CrP,P1-,Cr1+
MnP,P3-,Mn3+
MnP,P2-,Mn2+
MnP,P1-,Mn1+
FeP,P3-,Fe3+
FeP,P2-,Fe2+
FeP,P1-,Fe1+
CoP,P3-,Co3+
CoP,P2-,Co2+
CoP,P1-,Co1+
NiP,P3-,Ni3+
NiP,P2-,Ni2+
NiP,P1-,Ni1+
CuP,P3-,Cu3+
CuP,P2-,Cu2+
CuP,P1-,Cu1+
ZnP,P2-,Zn2+
ZnP,P1-,Zn1+
GaP,P3-,Ga3+
GaP,P2-,Ga2+
GaP,P1-,Ga1+
GeP,P3-,Ge3+
GeP,P2-,Ge2+
GeP,P1-,Ge1+
AsP,P3-,As3+
AsP,P2-,As2+
AsP,P1-,As1+
PSe,P2+,Se2-
PBr,P1+,Br1-
RbP,P1-,Rb1+
SrP,P2-,Sr2+
SrP,P1-,Sr1+
YP,P3-,Y3+
YP,P2-,Y2+
YP,P1-,Y1+
ZrP,P3-,Zr3+
ZrP,P2-,Zr2+
ZrP,P1-,Zr1+
NbP,P3-,Nb3+
NbP,P2-,Nb2+
NbP,P1-,Nb1+
MoP,P3-,Mo3+
MoP,P2-,Mo2+
MoP,P1-,Mo1+
PRu,P2+,Ru2-
PRh,P1+,Rh1-
AgP,P3-,Ag3+
AgP,P2-,Ag2+
AgP,P1-,Ag1+
CdP,P2-,Cd2+
CdP,P1-,Cd1+
InP,P3-,In3+
InP,P2-,In2+
InP,P1-,In1+
SnP,P2-,Sn2+
SbP,P3-,Sb3+
TeP,P2-,Te2+
PI,P1+,I1-
CsP,P1-,Cs1+
BaP,P2-,Ba2+
LaP,P3-,La3+
LaP,P2-,La2+
CeP,P3-,Ce3+
CeP,P2-,Ce2+
PrP,P3-,Pr3+
PrP,P2-,Pr2+
NdP,P3-,Nd3+
NdP,P2-,Nd2+
SmP,P3-,Sm3+
SmP,P2-,Sm2+
EuP,P3-,Eu3+
EuP,P2-,Eu2+
GdP,P3-,Gd3+
GdP,P2-,Gd2+
GdP,P1-,Gd1+
TbP,P3-,Tb3+
TbP,P2-,Tb2+
TbP,P1-,Tb1+
DyP,P3-,Dy3+
DyP,P2-,Dy2+
HoP,P3-,Ho3+
HoP,P2-,Ho2+
ErP,P3-,Er3+
ErP,P2-,Er2+
TmP,P3-,Tm3+
TmP,P2-,Tm2+
YbP,P3-,Yb3+
YbP,P2-,Yb2+
LuP,P3-,Lu3+
HfP,P3-,Hf3+
HfP,P2-,Hf2+
TaP,P3-,Ta3+
TaP,P2-,Ta2+
PW,P3-,W3+
PW,P2-,W2+
PW,P1-,W1+
ReP,P3-,Re3+
ReP,P2-,Re2+
ReP,P1-,Re1+
POs,P1+,Os1-
POs,P2+,Os2-
PIr,P1+,Ir1-
PIr,P3+,Ir3-
PPt,P1+,Pt1-
PPt,P2+,Pt2-
PAu,P1+,Au1-
HgP,P2-,Hg2+
HgP,P1-,Hg1+
TlP,P3-,Tl3+
TlP,P1-,Tl1+
PPb,P2-,Pb2+
BiP,P3-,Bi3+
BiP,P1-,Bi1+
HS,S1-,H1+
LiS,S1-,Li1+
BeS,S2-,Be2+
BeS,S1-,Be1+
BS,S2-,B2+
BS,S1-,B1+
CS,S2-,C2+
CS,S1-,C1+
SN,S1+,N1-
SN,S2+,N2-
SN,S3+,N3-
SO,S1+,O1-
SO,S2+,O2-
SF,S1+,F1-
NaS,S1-,Na1+
MgS,S2-,Mg2+
MgS,S1-,Mg1+
AlS,S2-,Al2+
AlS,S1-,Al1+
SiS,S2-,Si2+
SiS,S1-,Si1+
PS,S2-,P2+
PS,S1-,P1+
SCl,S1+,Cl1-
KS,S1-,K1+
CaS,S2-,Ca2+
CaS,S1-,Ca1+
ScS,S2-,Sc2+
ScS,S1-,Sc1+
TiS,S2-,Ti2+
TiS,S1-,Ti1+
VS,S2-,V2+
VS,S1-,V1+
CrS,S2-,Cr2+
CrS,S1-,Cr1+
MnS,S2-,Mn2+
MnS,S1-,Mn1+
FeS,S2-,Fe2+
FeS,S1-,Fe1+
CoS,S2-,Co2+
CoS,S1-,Co1+
NiS,S2-,Ni2+
NiS,S1-,Ni1+
CuS,S2-,Cu2+
CuS,S1-,Cu1+
ZnS,S2-,Zn2+
ZnS,S1-,Zn1+
GaS,S2-,Ga2+
GaS,S1-,Ga1+
GeS,S2-,Ge2+
GeS,S1-,Ge1+
AsS,S2-,As2+
AsS,S1-,As1+
SeS,S2-,Se2+
SeS,S1-,Se1+
SBr,S1+,Br1-
RbS,S1-,Rb1+
SrS,S2-,Sr2+
SrS,S1-,Sr1+
YS,S2-,Y2+
YS,S1-,Y1+
ZrS,S2-,Zr2+
ZrS,S1-,Zr1+
NbS,S2-,Nb2+
NbS,S1-,Nb1+
MoS,S2-,Mo2+
MoS,S1-,Mo1+
RuS,S2-,Ru2+
RuS,S1-,Ru1+
RhS,S2-,Rh2+
RhS,S1-,Rh1+
PdS,S2-,Pd2+
PdS,S1-,Pd1+
AgS,S2-,Ag2+
AgS,S1-,Ag1+
CdS,S2-,Cd2+
CdS,S1-,Cd1+
InS,S2-,In2+
InS,S1-,In1+
SnS,S2-,Sn2+
TeS,S2-,Te2+
SI,S1+,I1-
CsS,S1-,Cs1+
BaS,S2-,Ba2+
LaS,S2-,La2+
CeS,S2-,Ce2+
PrS,S2-,Pr2+
NdS,S2-,Nd2+
SmS,S2-,Sm2+
EuS,S2-,Eu2+
GdS,S2-,Gd2+
GdS,S1-,Gd1+
TbS,S2-,Tb2+
TbS,S1-,Tb1+
DyS,S2-,Dy2+
HoS,S2-,Ho2+
ErS,S2-,Er2+
TmS,S2-,Tm2+
YbS,S2-,Yb2+
HfS,S2-,Hf2+
TaS,S2-,Ta2+
WS,S2-,W2+
WS,S1-,W1+
ReS,S2-,Re2+
ReS,S1-,Re1+
OsS,S2-,Os2+
OsS,S1-,Os1+
IrS,S2-,Ir2+
IrS,S1-,Ir1+
PtS,S2-,Pt2+
PtS,S1-,Pt1+
AuS,S2-,Au2+
AuS,S1-,Au1+
HgS,S2-,Hg2+
HgS,S1-,Hg1+
TlS,S1-,Tl1+
PbS,S2-,Pb2+
BiS,S1-,Bi1+
HCl,Cl1-,H1+
LiCl,Cl1-,Li1+
BeCl,Cl1-,Be1+
BCl,Cl1-,B1+
CCl,Cl1-,C1+
NCl,Cl1-,N1+
ClO,Cl1+,O1-
ClO,Cl2+,O2-
ClF,Cl1+,F1-
NaCl,Cl1-,Na1+
MgCl,Cl1-,Mg1+
AlCl,Cl1-,Al1+
SiCl,Cl1-,Si1+
PCl,Cl1-,P1+
SCl,Cl1-,S1+
KCl,Cl1-,K1+
CaCl,Cl1-,Ca1+
ScCl,Cl1-,Sc1+
TiCl,Cl1-,Ti1+
VCl,Cl1-,V1+
CrCl,Cl1-,Cr1+
MnCl,Cl1-,Mn1+
FeCl,Cl1-,Fe1+
CoCl,Cl1-,Co1+
NiCl,Cl1-,Ni1+
CuCl,Cl1-,Cu1+
ZnCl,Cl1-,Zn1+
GaCl,Cl1-,Ga1+
GeCl,Cl1-,Ge1+
AsCl,Cl1-,As1+
SeCl,Cl1-,Se1+
BrCl,Cl1-,Br1+
RbCl,Cl1-,Rb1+
SrCl,Cl1-,Sr1+
YCl,Cl1-,Y1+
ZrCl,Cl1-,Zr1+
NbCl,Cl1-,Nb1+
MoCl,Cl1-,Mo1+
RuCl,Cl1-,Ru1+
RhCl,Cl1-,Rh1+
PdCl,Cl1-,Pd1+
AgCl,Cl1-,Ag1+
CdCl,Cl1-,Cd1+
InCl,Cl1-,In1+
ICl,Cl1-,I1+
CsCl,Cl1-,Cs1+
GdCl,Cl1-,Gd1+
TbCl,Cl1-,Tb1+
WCl,Cl1-,W1+
ReCl,Cl1-,Re1+
OsCl,Cl1-,Os1+
IrCl,Cl1-,Ir1+
PtCl,Cl1-,Pt1+
AuCl,Cl1-,Au1+
HgCl,Cl1-,Hg1+
TlCl,Cl1-,Tl1+
BiCl,Cl1-,Bi1+
KH,K1+,H1-
KC,K1+,C1-
KN,K1+,N1-
K2O2,K1+,O1-
KF,K1+,F1-
KNa,K1+,Na1-
KSi,K1+,Si1-
KP,K1+,P1-
KS,K1+,S1-
KCl,K1+,Cl1-
KTi,K1+,Ti1-
KV,K1+,V1-
KCr,K1+,Cr1-
KMn,K1+,Mn1-
KFe,K1+,Fe1-
KCo,K1+,Co1-
KNi,K1+,Ni1-
KGe,K1+,Ge1-
KBr,K1+,Br1-
KZr,K1-,Zr1+
KNb,K1+,Nb1-
KMo,K1+,Mo1-
KRh,K1+,Rh1-
KI,K1+,I1-
CsK,K1-,Cs1+
KTa,K1+,Ta1-
KW,K1+,W1-
KRe,K1+,Re1-
KOs,K1+,Os1-
KIr,K1+,Ir1-
KPt,K1+,Pt1-
KAu,K1+,Au1-
KTl,K1+,Tl1-
CaH,Ca1+,H1-
CaC,Ca1+,C1-
CaC,Ca2+,C2-
CaN,Ca1+,N1-
CaN,Ca2+,N2-
CaO,Ca1+,O1-
CaO,Ca2+,O2-
CaF,Ca1+,F1-
CaSi,Ca1+,Si1-
CaSi,Ca2+,Si2-
CaP,Ca1+,P1-
CaP,Ca2+,P2-
CaS,Ca1+,S1-
CaS,Ca2+,S2-
CaCl,Ca1+,Cl1-
CaTi,Ca1+,Ti1-
CaV,Ca1+,V1-
CaCr,Ca1+,Cr1-
CaCr,Ca2+,Cr2-
CaMn,Ca1+,Mn1-
CaMn,Ca2+,Mn2-
CaFe,Ca1+,Fe1-
CaFe,Ca2+,Fe2-
CaCo,Ca1+,Co1-
CaNi,Ca1+,Ni1-
CaGe,Ca1+,Ge1-
CaGe,Ca2+,Ge2-
CaSe,Ca2+,Se2-
CaBr,Ca1+,Br1-
CaNb,Ca1+,Nb1-
CaMo,Ca1+,Mo1-
CaMo,Ca2+,Mo2-
CaRu,Ca2+,Ru2-
CaRh,Ca1+,Rh1-
CaTe,Ca2+,Te2-
CaI,Ca1+,I1-
CaTa,Ca1+,Ta1-
CaW,Ca1+,W1-
CaW,Ca2+,W2-
CaRe,Ca1+,Re1-
CaOs,Ca1+,Os1-
CaOs,Ca2+,Os2-
CaIr,Ca1+,Ir1-
CaPt,Ca1+,Pt1-
CaPt,Ca2+,Pt2-
CaAu,Ca1+,Au1-
CaTl,Ca1+,Tl1-
ScH,Sc1+,H1-
ScC,Sc1+,C1-
ScC,Sc2+,C2-
ScC,Sc3+,C3-
ScN,Sc1+,N1-
ScN,Sc2+,N2-
ScN,Sc3+,N3-
ScO,Sc1+,O1-
ScO,Sc2+,O2-
ScF,Sc1+,F1-
ScSi,Sc1+,Si1-
ScSi,Sc2+,Si2-
ScSi,Sc3+,Si3-
ScP,Sc1+,P1-
ScP,Sc2+,P2-
ScP,Sc3+,P3-
ScS,Sc1+,S1-
ScS,Sc2+,S2-
ScCl,Sc1+,Cl1-
ScTi,Sc1+,Ti1-
ScV,Sc1+,V1-
ScCr,Sc1+,Cr1-
ScCr,Sc2+,Cr2-
ScMn,Sc1+,Mn1-
ScMn,Sc2+,Mn2-
ScMn,Sc3+,Mn3-
ScFe,Sc1+,Fe1-
ScFe,Sc2+,Fe2-
ScCo,Sc1+,Co1-
ScNi,Sc1+,Ni1-
ScGe,Sc1+,Ge1-
ScGe,Sc2+,Ge2-
ScGe,Sc3+,Ge3-
ScAs,Sc3+,As3-
ScSe,Sc2+,Se2-
ScBr,Sc1+,Br1-
ScNb,Sc1+,Nb1-
ScMo,Sc1+,Mo1-
ScMo,Sc2+,Mo2-
ScRu,Sc2+,Ru2-
ScRh,Sc1+,Rh1-
ScSb,Sc3+,Sb3-
ScTe,Sc2+,Te2-
ScI,Sc1+,I1-
ScTa,Sc1+,Ta1-
ScW,Sc1+,W1-
ScW,Sc2+,W2-
ScRe,Sc1+,Re1-
ScRe,Sc3+,Re3-
ScOs,Sc1+,Os1-
ScOs,Sc2+,Os2-
ScIr,Sc1+,Ir1-
ScIr,Sc3+,Ir3-
ScPt,Sc1+,Pt1-
ScPt,Sc2+,Pt2-
ScAu,Sc1+,Au1-
ScTl,Sc1+,Tl1-
ScBi,Sc3+,Bi3-
TiH,Ti1+,H1-
LiTi,Ti1-,Li1+
TiC,Ti1+,C1-
TiC,Ti2+,C2-
TiC,Ti3+,C3-
TiC,Ti4+,C4-
TiN,Ti1+,N1-
TiN,Ti2+,N2-
TiN,Ti3+,N3-
TiO,Ti1+,O1-
TiO,Ti2+,O2-
TiF,Ti1+,F1-
NaTi,Ti1-,Na1+
MgTi,Ti1-,Mg1+
TiSi,Ti1+,Si1-
TiSi,Ti2+,Si2-
TiSi,Ti3+,Si3-
TiSi,Ti4+,Si4-
TiP,Ti1+,P1-
TiP,Ti2+,P2-
TiP,Ti3+,P3-
TiS,Ti1+,S1-
TiS,Ti2+,S2-
TiCl,Ti1+,Cl1-
KTi,Ti1-,K1+
CaTi,Ti1-,Ca1+
ScTi,Ti1-,Sc1+
TiV,Ti1+,V1-
TiCr,Ti1+,Cr1-
TiCr,Ti2+,Cr2-
TiMn,Ti1+,Mn1-
TiMn,Ti2+,Mn2-
TiMn,Ti3+,Mn3-
TiFe,Ti1+,Fe1-
TiFe,Ti2+,Fe2-
TiCo,Ti1+,Co1-
TiNi,Ti1+,Ni1-
TiGe,Ti1+,Ge1-
TiGe,Ti2+,Ge2-
TiGe,Ti3+,Ge3-
TiGe,Ti4+,Ge4-
TiAs,Ti3+,As3-
TiSe,Ti2+,Se2-
TiBr,Ti1+,Br1-
RbTi,Ti1-,Rb1+
SrTi,Ti1-,Sr1+
YTi,Ti1-,Y1+
ZrTi,Ti1-,Zr1+
TiNb,Ti1+,Nb1-
TiMo,Ti1+,Mo1-
TiMo,Ti2+,Mo2-
TiRu,Ti2+,Ru2-
TiRh,Ti1+,Rh1-
TiSn,Ti4+,Sn4-
TiSb,Ti3+,Sb3-
TiTe,Ti2+,Te2-
TiI,Ti1+,I1-
CsTi,Ti1-,Cs1+
GdTi,Ti1-,Gd1+
TbTi,Ti1-,Tb1+
TiW,Ti1+,W1-
TiW,Ti2+,W2-
TiRe,Ti1+,Re1-
TiRe,Ti3+,Re3-
TiOs,Ti1+,Os1-
TiOs,Ti2+,Os2-
TiIr,Ti1+,Ir1-
TiIr,Ti3+,Ir3-
TiPt,Ti1+,Pt1-
TiPt,Ti2+,Pt2-
TiAu,Ti1+,Au1-
TiTl,Ti1+,Tl1-
TiPb,Ti4+,Pb4-
TiBi,Ti3+,Bi3-
VH,V1+,H1-
LiV,V1-,Li1+
BeV,V1-,Be1+
VC,V1+,C1-
VC,V2+,C2-
VC,V3+,C3-
VC,V4+,C4-
VN,V1+,N1-
VN,V2+,N2-
VN,V3+,N3-
VO,V1+,O1-
VO,V2+,O2-
VF,V1+,F1-
NaV,V1-,Na1+
MgV,V1-,Mg1+
AlV,V1-,Al1+
VSi,V1+,Si1-
VSi,V2+,Si2-
VSi,V3+,Si3-
VSi,V4+,Si4-
VP,V1+,P1-
VP,V2+,P2-
VP,V3+,P3-
VS,V1+,S1-
VS,V2+,S2-
VCl,V1+,Cl1-
KV,V1-,K1+
CaV,V1-,Ca1+
ScV,V1-,Sc1+
TiV,V1-,Ti1+
VCr,V1+,Cr1-
VCr,V2+,Cr2-
MnV,V1-,Mn1+
VFe,V1+,Fe1-
VFe,V2+,Fe2-
VCo,V1+,Co1-
VNi,V1+,Ni1-
VGe,V1+,Ge1-
VGe,V2+,Ge2-
VGe,V3+,Ge3-
VGe,V4+,Ge4-
VAs,V3+,As3-
VSe,V2+,Se2-
VBr,V1+,Br1-
RbV,V1-,Rb1+
SrV,V1-,Sr1+
YV,V1-,Y1+
ZrV,V1-,Zr1+
NbV,V1-,Nb1+
VMo,V1+,Mo1-
VMo,V2+,Mo2-
VRu,V2+,Ru2-
VRh,V1+,Rh1-
VSn,V4+,Sn4-
VSb,V3+,Sb3-
VTe,V2+,Te2-
VI,V1+,I1-
CsV,V1-,Cs1+
GdV,V1-,Gd1+
TbV,V1-,Tb1+
VW,V1+,W1-
VW,V2+,W2-
VRe,V1+,Re1-
VRe,V3+,Re3-
VOs,V1+,Os1-
VOs,V2+,Os2-
VIr,V1+,Ir1-
VIr,V3+,Ir3-
VPt,V1+,Pt1-
VPt,V2+,Pt2-
VAu,V1+,Au1-
TlV,V1+,Tl1-
VPb,V4+,Pb4-
VBi,V3+,Bi3-
CrH,Cr1+,H1-
LiCr,Cr1-,Li1+
BeCr,Cr2-,Be2+
BeCr,Cr1-,Be1+
CrC,Cr1+,C1-
CrC,Cr2+,C2-
CrC,Cr3+,C3-
CrC,Cr4+,C4-
CrN,Cr1+,N1-
CrN,Cr2+,N2-
CrN,Cr3+,N3-
CrO,Cr1+,O1-
CrO,Cr2+,O2-
CrF,Cr1+,F1-
NaCr,Cr1-,Na1+
MgCr,Cr2-,Mg2+
MgCr,Cr1-,Mg1+
AlCr,Cr2-,Al2+
AlCr,Cr1-,Al1+
CrSi,Cr1+,Si1-
CrSi,Cr2+,Si2-
CrSi,Cr3+,Si3-
CrSi,Cr4+,Si4-
CrP,Cr1+,P1-
CrP,Cr2+,P2-
CrP,Cr3+,P3-
CrS,Cr1+,S1-
CrS,Cr2+,S2-
CrCl,Cr1+,Cl1-
KCr,Cr1-,K1+
CaCr,Cr2-,Ca2+
CaCr,Cr1-,Ca1+
ScCr,Cr2-,Sc2+
ScCr,Cr1-,Sc1+
TiCr,Cr2-,Ti2+
TiCr,Cr1-,Ti1+
VCr,Cr2-,V2+
VCr,Cr1-,V1+
MnCr,Cr2-,Mn2+
MnCr,Cr1-,Mn1+
CrFe,Cr1+,Fe1-
CrFe,Cr2+,Fe2-
CrCo,Cr1+,Co1-
CrNi,Cr1+,Ni1-
ZnCr,Cr2-,Zn2+
ZnCr,Cr1-,Zn1+
CrGe,Cr1+,Ge1-
CrGe,Cr2+,Ge2-
CrGe,Cr3+,Ge3-
CrGe,Cr4+,Ge4-
CrAs,Cr3+,As3-
CrSe,Cr2+,Se2-
CrBr,Cr1+,Br1-
RbCr,Cr1-,Rb1+
SrCr,Cr2-,Sr2+
SrCr,Cr1-,Sr1+
YCr,Cr2-,Y2+
YCr,Cr1-,Y1+
ZrCr,Cr2-,Zr2+
ZrCr,Cr1-,Zr1+
NbCr,Cr2-,Nb2+
NbCr,Cr1-,Nb1+
CrMo,Cr1+,Mo1-
CrMo,Cr2+,Mo2-
CrRu,Cr2+,Ru2-
CrRh,Cr1+,Rh1-
CrSn,Cr4+,Sn4-
CrSb,Cr3+,Sb3-
CrTe,Cr2+,Te2-
CrI,Cr1+,I1-
CsCr,Cr1-,Cs1+
BaCr,Cr2-,Ba2+
LaCr,Cr2-,La2+
CeCr,Cr2-,Ce2+
PrCr,Cr2-,Pr2+
NdCr,Cr2-,Nd2+
SmCr,Cr2-,Sm2+
EuCr,Cr2-,Eu2+
GdCr,Cr2-,Gd2+
GdCr,Cr1-,Gd1+
TbCr,Cr2-,Tb2+
TbCr,Cr1-,Tb1+
DyCr,Cr2-,Dy2+
HoCr,Cr2-,Ho2+
ErCr,Cr2-,Er2+
TmCr,Cr2-,Tm2+
YbCr,Cr2-,Yb2+
HfCr,Cr2-,Hf2+
TaCr,Cr2-,Ta2+
CrW,Cr1+,W1-
CrW,Cr2+,W2-
CrRe,Cr1+,Re1-
CrRe,Cr3+,Re3-
CrOs,Cr1+,Os1-
CrOs,Cr2+,Os2-
CrIr,Cr1+,Ir1-
CrIr,Cr3+,Ir3-
CrPt,Cr1+,Pt1-
CrPt,Cr2+,Pt2-
CrAu,Cr1+,Au1-
TlCr,Cr1+,Tl1-
CrPb,Cr4+,Pb4-
CrBi,Cr3+,Bi3-
MnH,Mn1+,H1-
LiMn,Mn1-,Li1+
MnC,Mn1+,C1-
MnC,Mn2+,C2-
MnC,Mn3+,C3-
MnC,Mn4+,C4-
MnN,Mn1+,N1-
MnN,Mn2+,N2-
MnN,Mn3+,N3-
MnO,Mn1+,O1-
MnO,Mn2+,O2-
MnF,Mn1+,F1-
NaMn,Mn1-,Na1+
MgMn,Mn2-,Mg2+
MgMn,Mn1-,Mg1+
MnSi,Mn1+,Si1-
MnSi,Mn2+,Si2-
MnSi,Mn3+,Si3-
MnSi,Mn4+,Si4-
MnP,Mn1+,P1-
MnP,Mn2+,P2-
MnP,Mn3+,P3-
MnS,Mn1+,S1-
MnS,Mn2+,S2-
MnCl,Mn1+,Cl1-
KMn,Mn1-,K1+
CaMn,Mn2-,Ca2+
CaMn,Mn1-,Ca1+
ScMn,Mn3-,Sc3+
ScMn,Mn2-,Sc2+
ScMn,Mn1-,Sc1+
TiMn,Mn3-,Ti3+
TiMn,Mn2-,Ti2+
TiMn,Mn1-,Ti1+
MnV,Mn1+,V1-
MnCr,Mn1+,Cr1-
MnCr,Mn2+,Cr2-
MnFe,Mn1+,Fe1-
MnFe,Mn2+,Fe2-
MnCo,Mn1+,Co1-
MnNi,Mn1+,Ni1-
MnGe,Mn1+,Ge1-
MnGe,Mn2+,Ge2-
MnGe,Mn3+,Ge3-
MnGe,Mn4+,Ge4-
MnAs,Mn3+,As3-
MnSe,Mn2+,Se2-
MnBr,Mn1+,Br1-
RbMn,Mn1-,Rb1+
SrMn,Mn2-,Sr2+
SrMn,Mn1-,Sr1+
YMn,Mn3-,Y3+
YMn,Mn2-,Y2+
YMn,Mn1-,Y1+
ZrMn,Mn3-,Zr3+
ZrMn,Mn2-,Zr2+
ZrMn,Mn1-,Zr1+
MnNb,Mn1+,Nb1-
MnMo,Mn1+,Mo1-
MnMo,Mn2+,Mo2-
MnRu,Mn2+,Ru2-
MnRh,Mn1+,Rh1-
MnSn,Mn4+,Sn4-
MnSb,Mn3+,Sb3-
MnTe,Mn2+,Te2-
MnI,Mn1+,I1-
CsMn,Mn1-,Cs1+
BaMn,Mn2-,Ba2+
LaMn,Mn3-,La3+
LaMn,Mn2-,La2+
CeMn,Mn3-,Ce3+
CeMn,Mn2-,Ce2+
PrMn,Mn3-,Pr3+
PrMn,Mn2-,Pr2+
NdMn,Mn3-,Nd3+
NdMn,Mn2-,Nd2+
SmMn,Mn3-,Sm3+
SmMn,Mn2-,Sm2+
EuMn,Mn3-,Eu3+
EuMn,Mn2-,Eu2+
GdMn,Mn3-,Gd3+
GdMn,Mn2-,Gd2+
GdMn,Mn1-,Gd1+
TbMn,Mn3-,Tb3+
TbMn,Mn2-,Tb2+
TbMn,Mn1-,Tb1+
DyMn,Mn3-,Dy3+
DyMn,Mn2-,Dy2+
HoMn,Mn3-,Ho3+
HoMn,Mn2-,Ho2+
ErMn,Mn3-,Er3+
ErMn,Mn2-,Er2+
TmMn,Mn3-,Tm3+
TmMn,Mn2-,Tm2+
YbMn,Mn3-,Yb3+
YbMn,Mn2-,Yb2+
LuMn,Mn3-,Lu3+
HfMn,Mn3-,Hf3+
HfMn,Mn2-,Hf2+
TaMn,Mn3-,Ta3+
TaMn,Mn2-,Ta2+
MnW,Mn1+,W1-
MnW,Mn2+,W2-
MnRe,Mn1+,Re1-
MnRe,Mn3+,Re3-
MnOs,Mn1+,Os1-
MnOs,Mn2+,Os2-
MnIr,Mn1+,Ir1-
MnIr,Mn3+,Ir3-
MnPt,Mn1+,Pt1-
MnPt,Mn2+,Pt2-
MnAu,Mn1+,Au1-
MnTl,Mn1+,Tl1-
MnPb,Mn4+,Pb4-
MnBi,Mn3+,Bi3-
FeH,Fe1+,H1-
LiFe,Fe1-,Li1+
BeFe,Fe2-,Be2+
BeFe,Fe1-,Be1+
FeC,Fe1+,C1-
FeC,Fe2+,C2-
FeC,Fe3+,C3-
FeC,Fe4+,C4-
FeN,Fe1+,N1-
FeN,Fe2+,N2-
FeN,Fe3+,N3-
FeO,Fe1+,O1-
FeO,Fe2+,O2-
FeF,Fe1+,F1-
NaFe,Fe1-,Na1+
MgFe,Fe2-,Mg2+
MgFe,Fe1-,Mg1+
AlFe,Fe2-,Al2+
AlFe,Fe1-,Al1+
FeSi,Fe1+,Si1-
FeSi,Fe2+,Si2-
FeSi,Fe3+,Si3-
FeSi,Fe4+,Si4-
FeP,Fe1+,P1-
FeP,Fe2+,P2-
FeP,Fe3+,P3-
FeS,Fe1+,S1-
FeS,Fe2+,S2-
FeCl,Fe1+,Cl1-
KFe,Fe1-,K1+
CaFe,Fe2-,Ca2+
CaFe,Fe1-,Ca1+
ScFe,Fe2-,Sc2+
ScFe,Fe1-,Sc1+
TiFe,Fe2-,Ti2+
TiFe,Fe1-,Ti1+
VFe,Fe2-,V2+
VFe,Fe1-,V1+
CrFe,Fe2-,Cr2+
CrFe,Fe1-,Cr1+
MnFe,Fe2-,Mn2+
MnFe,Fe1-,Mn1+
FeCo,Fe1+,Co1-
FeNi,Fe1+,Ni1-
ZnFe,Fe2-,Zn2+
ZnFe,Fe1-,Zn1+
GaFe,Fe2-,Ga2+
GaFe,Fe1-,Ga1+
FeGe,Fe1+,Ge1-
FeGe,Fe2+,Ge2-
FeGe,Fe3+,Ge3-
FeGe,Fe4+,Ge4-
FeAs,Fe3+,As3-
FeSe,Fe2+,Se2-
FeBr,Fe1+,Br1-
RbFe,Fe1-,Rb1+
SrFe,Fe2-,Sr2+
SrFe,Fe1-,Sr1+
YFe,Fe2-,Y2+
YFe,Fe1-,Y1+
ZrFe,Fe2-,Zr2+
ZrFe,Fe1-,Zr1+
NbFe,Fe2-,Nb2+
NbFe,Fe1-,Nb1+
FeMo,Fe1+,Mo1-
FeMo,Fe2+,Mo2-
FeRu,Fe2+,Ru2-
FeRh,Fe1+,Rh1-
CdFe,Fe2-,Cd2+
CdFe,Fe1-,Cd1+
InFe,Fe2-,In2+
InFe,Fe1-,In1+
FeSn,Fe4+,Sn4-
FeSb,Fe3+,Sb3-
FeTe,Fe2+,Te2-
FeI,Fe1+,I1-
CsFe,Fe1-,Cs1+
BaFe,Fe2-,Ba2+
LaFe,Fe2-,La2+
CeFe,Fe2-,Ce2+
PrFe,Fe2-,Pr2+
NdFe,Fe2-,Nd2+
SmFe,Fe2-,Sm2+
EuFe,Fe2-,Eu2+
GdFe,Fe2-,Gd2+
GdFe,Fe1-,Gd1+
TbFe,Fe2-,Tb2+
TbFe,Fe1-,Tb1+
DyFe,Fe2-,Dy2+
HoFe,Fe2-,Ho2+
ErFe,Fe2-,Er2+
TmFe,Fe2-,Tm2+
YbFe,Fe2-,Yb2+
HfFe,Fe2-,Hf2+
TaFe,Fe2-,Ta2+
FeW,Fe2-,W2+
FeW,Fe1-,W1+
FeRe,Fe1+,Re1-
FeRe,Fe3+,Re3-
FeOs,Fe1+,Os1-
FeOs,Fe2+,Os2-
FeIr,Fe1+,Ir1-
FeIr,Fe3+,Ir3-
FePt,Fe1+,Pt1-
FePt,Fe2+,Pt2-
FeAu,Fe1+,Au1-
TlFe,Fe1-,Tl1+
FePb,Fe2-,Pb2+
FeBi,Fe3+,Bi3-
CoH,Co1+,H1-
LiCo,Co1-,Li1+
BeCo,Co1-,Be1+
CoC,Co1+,C1-
CoC,Co2+,C2-
CoC,Co3+,C3-
CoC,Co4+,C4-
CoN,Co1+,N1-
CoN,Co2+,N2-
CoN,Co3+,N3-
CoO,Co1+,O1-
