Pretty Formula,M,X
RbC,C1-,Rb1+
SrC,C2-,Sr2+
SrC,C1-,Sr1+
YC,C3-,Y3+
YC,C2-,Y2+
YC,C1-,Y1+
ZrC,C4-,Zr4+
ZrC,C3-,Zr3+
ZrC,C2-,Zr2+
ZrC,C1-,Zr1+
NbC,C4-,Nb4+
NbC,C3-,Nb3+
NbC,C2-,Nb2+
NbC,C1-,Nb1+
MoC,C4-,Mo4+
MoC,C3-,Mo3+
MoC,C2-,Mo2+
MoC,C1-,Mo1+
RuC,C4-,Ru4+
RuC,C3-,Ru3+
RuC,C2-,Ru2+
RuC,C1-,Ru1+
RhC,C4-,Rh4+
RhC,C3-,Rh3+
RhC,C2-,Rh2+
RhC,C1-,Rh1+
PdC,C4-,Pd4+
PdC,C2-,Pd2+
PdC,C1-,Pd1+
AgC,C4-,Ag4+
AgC,C3-,Ag3+
AgC,C2-,Ag2+
AgC,C1-,Ag1+
CdC,C2-,Cd2+
CdC,C1-,Cd1+
InC,C3-,In3+
InC,C2-,In2+
InC,C1-,In1+
SnC,C4-,Sn4+
SnC,C2-,Sn2+
SbC,C3-,Sb3+
TeC,C4-,Te4+
TeC,C2-,Te2+
CI,C1+,I1-
CsC,C1-,Cs1+
BaC,C2-,Ba2+
LaC,C3-,La3+
LaC,C2-,La2+
CeC,C4-,Ce4+
CeC,C3-,Ce3+
CeC,C2-,Ce2+
PrC,C4-,Pr4+
PrC,C3-,Pr3+
PrC,C2-,Pr2+
NdC,C4-,Nd4+
NdC,C3-,Nd3+
NdC,C2-,Nd2+
SmC,C3-,Sm3+
SmC,C2-,Sm2+
EuC,C3-,Eu3+
EuC,C2-,Eu2+
GdC,C3-,Gd3+
GdC,C2-,Gd2+
GdC,C1-,Gd1+
TbC,C4-,Tb4+
TbC,C3-,Tb3+
TbC,C2-,Tb2+
TbC,C1-,Tb1+
DyC,C4-,Dy4+
DyC,C3-,Dy3+
DyC,C2-,Dy2+
HoC,C3-,Ho3+
HoC,C2-,Ho2+
ErC,C3-,Er3+
ErC,C2-,Er2+
TmC,C3-,Tm3+
TmC,C2-,Tm2+
YbC,C3-,Yb3+
YbC,C2-,Yb2+
LuC,C3-,Lu3+
HfC,C4-,Hf4+
HfC,C3-,Hf3+
HfC,C2-,Hf2+
TaC,C4-,Ta4+
TaC,C3-,Ta3+
TaC,C2-,Ta2+
WC,C4-,W4+
WC,C3-,W3+
WC,C2-,W2+
WC,C1-,W1+
ReC,C4-,Re4+
ReC,C3-,Re3+
ReC,C2-,Re2+
ReC,C1-,Re1+
OsC,C4-,Os4+
OsC,C3-,Os3+
OsC,C2-,Os2+
OsC,C1-,Os1+
IrC,C4-,Ir4+
IrC,C3-,Ir3+
IrC,C2-,Ir2+
IrC,C1-,Ir1+
PtC,C4-,Pt4+
PtC,C3-,Pt3+
PtC,C2-,Pt2+
PtC,C1-,Pt1+
AuC,C3-,Au3+
AuC,C2-,Au2+
AuC,C1-,Au1+
HgC,C4-,Hg4+
HgC,C2-,Hg2+
HgC,C1-,Hg1+
TlC,C3-,Tl3+
TlC,C1-,Tl1+
PbC,C4-,Pb4+
PbC,C2-,Pb2+
BiC,C3-,Bi3+
BiC,C1-,Bi1+
HN,N1-,H1+
LiN,N1-,Li1+
BeN,N2-,Be2+
BeN,N1-,Be1+
BN,N3-,B3+
BN,N2-,B2+
BN,N1-,B1+
CN,N3-,C3+
CN,N2-,C2+
CN,N1-,C1+
NO,N1+,O1-
NO,N2+,O2-
NF,N1+,F1-
NaN,N1-,Na1+
MgN,N2-,Mg2+
MgN,N1-,Mg1+
AlN,N3-,Al3+
AlN,N2-,Al2+
AlN,N1-,Al1+
SiN,N3-,Si3+
SiN,N2-,Si2+
SiN,N1-,Si1+
PN,N3-,P3+
PN,N2-,P2+
PN,N1-,P1+
SN,N3-,S3+
SN,N2-,S2+
SN,N1-,S1+
NCl,N1+,Cl1-
KN,N1-,K1+
CaN,N2-,Ca2+
CaN,N1-,Ca1+
ScN,N3-,Sc3+
ScN,N2-,Sc2+
ScN,N1-,Sc1+
TiN,N3-,Ti3+
TiN,N2-,Ti2+
TiN,N1-,Ti1+
VN,N3-,V3+
VN,N2-,V2+
VN,N1-,V1+
CrN,N3-,Cr3+
CrN,N2-,Cr2+
CrN,N1-,Cr1+
MnN,N3-,Mn3+
MnN,N2-,Mn2+
MnN,N1-,Mn1+
FeN,N3-,Fe3+
FeN,N2-,Fe2+
FeN,N1-,Fe1+
CoN,N3-,Co3+
CoN,N2-,Co2+
CoN,N1-,Co1+
NiN,N3-,Ni3+
NiN,N2-,Ni2+
NiN,N1-,Ni1+
CuN,N3-,Cu3+
CuN,N2-,Cu2+
CuN,N1-,Cu1+
ZnN,N2-,Zn2+
ZnN,N1-,Zn1+
GaN,N3-,Ga3+
GaN,N2-,Ga2+
GaN,N1-,Ga1+
GeN,N3-,Ge3+
GeN,N2-,Ge2+
GeN,N1-,Ge1+
AsN,N3-,As3+
AsN,N2-,As2+
AsN,N1-,As1+
SeN,N2-,Se2+
SeN,N1-,Se1+
BrN,N3-,Br3+
BrN,N2-,Br2+
BrN,N1-,Br1+
RbN,N1-,Rb1+
SrN,N2-,Sr2+
SrN,N1-,Sr1+
YN,N3-,Y3+
YN,N2-,Y2+
YN,N1-,Y1+
ZrN,N3-,Zr3+
ZrN,N2-,Zr2+
ZrN,N1-,Zr1+
NbN,N3-,Nb3+
NbN,N2-,Nb2+
NbN,N1-,Nb1+
MoN,N3-,Mo3+
MoN,N2-,Mo2+
MoN,N1-,Mo1+
RuN,N3-,Ru3+
RuN,N2-,Ru2+
RuN,N1-,Ru1+
RhN,N3-,Rh3+
RhN,N2-,Rh2+
RhN,N1-,Rh1+
PdN,N2-,Pd2+
PdN,N1-,Pd1+
AgN,N3-,Ag3+
AgN,N2-,Ag2+
AgN,N1-,Ag1+
CdN,N2-,Cd2+
CdN,N1-,Cd1+
InN,N3-,In3+
InN,N2-,In2+
InN,N1-,In1+
SnN,N2-,Sn2+
SbN,N3-,Sb3+
TeN,N2-,Te2+
IN,N3-,I3+
IN,N1-,I1+
CsN,N1-,Cs1+
BaN,N2-,Ba2+
LaN,N3-,La3+
LaN,N2-,La2+
CeN,N3-,Ce3+
CeN,N2-,Ce2+
PrN,N3-,Pr3+
PrN,N2-,Pr2+
NdN,N3-,Nd3+
NdN,N2-,Nd2+
SmN,N3-,Sm3+
SmN,N2-,Sm2+
EuN,N3-,Eu3+
EuN,N2-,Eu2+
GdN,N3-,Gd3+
GdN,N2-,Gd2+
GdN,N1-,Gd1+
TbN,N3-,Tb3+
TbN,N2-,Tb2+
TbN,N1-,Tb1+
DyN,N3-,Dy3+
DyN,N2-,Dy2+
HoN,N3-,Ho3+
HoN,N2-,Ho2+
ErN,N3-,Er3+
ErN,N2-,Er2+
TmN,N3-,Tm3+
TmN,N2-,Tm2+
YbN,N3-,Yb3+
YbN,N2-,Yb2+
LuN,N3-,Lu3+
HfN,N3-,Hf3+
HfN,N2-,Hf2+
TaN,N3-,Ta3+
TaN,N2-,Ta2+
WN,N3-,W3+
WN,N2-,W2+
WN,N1-,W1+
ReN,N3-,Re3+
ReN,N2-,Re2+
ReN,N1-,Re1+
OsN,N3-,Os3+
OsN,N2-,Os2+
OsN,N1-,Os1+
IrN,N3-,Ir3+
IrN,N2-,Ir2+
IrN,N1-,Ir1+
PtN,N3-,Pt3+
PtN,N2-,Pt2+
PtN,N1-,Pt1+
AuN,N3-,Au3+
AuN,N2-,Au2+
AuN,N1-,Au1+
HgN,N2-,Hg2+
HgN,N1-,Hg1+
TlN,N3-,Tl3+
TlN,N1-,Tl1+
PbN,N2-,Pb2+
BiN,N3-,Bi3+
BiN,N1-,Bi1+
H2O2,O1-,H1+
Li2O2,O1-,Li1+
BeO,O2-,Be2+
