0,Ac3+,Ag1+,Ag2+,Ag3+,Al3+,Am3+,As3+,As5+,Au1+,Au2+,Au3+,B3+,Ba2+,Be2+,Bi2+,Bi3+,Bi5+,Bk3+,Br1-,Br3+,Br5+,Br7+,C1+,C2+,C3+,C4+,Ca2+,Cd2+,Ce2+,Ce3+,Ce4+,Cf3+,Cl1-,Cl3+,Cl5+,Cl7+,Cm3+,Co1+,Co2+,Co3+,Co4+,Cr2+,Cr3+,Cr4+,Cr5+,Cr6+,Cs1+,Cu1+,Cu2+,Cu3+,Dy2+,Dy3+,Er2+,Er3+,Eu2+,Eu3+,F1-,Fe2+,Fe3+,Fe4+,Fe5+,Fe6+,Ga2+,Ga3+,Gd2+,Gd3+,Ge2+,Ge3+,Ge4+,H1+,Hf4+,Hg1+,Hg2+,Ho2+,Ho3+,I1-,I5+,I7+,In1+,In2+,In3+,Ir3+,Ir4+,Ir5+,Ir6+,K1+,Kr2+,La2+,La3+,Li1+,Lu3+,Mg2+,Mn1+,Mn2+,Mn3+,Mn4+,Mn5+,Mn6+,Mn7+,Mo2+,Mo3+,Mo4+,Mo5+,Mo6+,N1+,N3+,N3-,N5+,Na1+,Nb3+,Nb4+,Nb5+,Nb7+,Nd2+,Nd3+,Ni1+,Ni2+,Ni3+,Ni4+,Np3+,Np4+,Np6+,O2-,Os4+,Os5+,Os6+,Os7+,P1+,P3+,P4+,P5+,Pa4+,Pb2+,Pb4+,Pd2+,Pd3+,Pd4+,Po4+,Pr2+,Pr3+,Pr4+,Pt2+,Pt4+,Pt5+,Pu3+,Pu4+,Pu6+,Rb1+,Re1+,Re3+,Re4+,Re5+,Re6+,Re7+,Rh1+,Rh2+,Rh3+,Rh4+,Rh5+,Ru3+,Ru4+,Ru5+,Ru6+,S2+,S2-,S4+,S5+,S6+,Sb3+,Sb5+,Sc2+,Sc3+,Se2+,Se2-,Se4+,Se6+,Si4+,Sm2+,Sm3+,Sn2+,Sn3+,Sn4+,Sr2+,Ta2+,Ta3+,Ta4+,Ta5+,Tb3+,Tb4+,Tc4+,Tc7+,Te4+,Te6+,Th3+,Th4+,Ti2+,Ti3+,Ti4+,Tl1+,Tl3+,Tm2+,Tm3+,U3+,U4+,U5+,U6+,V2+,V3+,V4+,V5+,W2+,W3+,W4+,W5+,W6+,Xe2+,Xe6+,Y2+,Y3+,Yb2+,Yb3+,Zn2+,Zr2+,Zr3+,Zr4+
Eu3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84033,,-0.638127,0.728063,,,,,-1.22492,,2.28446,,,-1.22476,,-1.22476,,,-1.22476,1.87431,,-1.22493,,,,0.987166,,,,-0.91898,2.16258,,,2.40664,1.55069,1.46985,0.348379,,-0.638127,-1.22493,,,,,,0.787163,,-1.55352,0.202504,,,-0.164015,,2.8806,,,-0.91898,,,2.22,,-0.164015,0.572944,,-1.55352,,,-0.638127,,,,-0.638127,,,,0.202504,,0.728063,,-1.55367,,,,,1.82368,-1.22492,,-1.22476,,-1.22476,,,2.05779,,,,0.787162,-1.22475,-1.22493,,,0.657236,,,,,0.348379,,,0.202504,,,,,1.11959,,0.987166,,-1.22476,0.95397,,0.572944,,2.16249,-1.55352,,,1.73416,,,,-0.91898,1.89645,,,,-0.38863,-1.55352,,-0.38863,,0.572944,-1.55352,1.85002,0.953801,,1.5104,-0.164015,1.05282,-1.55367,-1.22493,,0.572944,,0.202504,,,,,0.88048,,,-1.22476,2.06856,-1.22475,1.98493,-0.91898,,,-0.638127
F1-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73025,,-1.55352,,,,,,,-1.5537,,,,-0.638127,,,,,,2.75795,,,,,,,,,,2.1762,,,-1.22493,2.82889,,,,,,,,,,,,,,,,,3.2315,,3.04218,,,,,,-1.5537,,,,,,,,6.99495,,,,,,,,,,-1.22476,,,,,,,,,,,,,,,1.87431,,,,,,,,,,,,,,,,,2.73116,,,,,,,-1.55352,,0.348379,,,,,-1.55352,-1.5537,,,,,,,,,,,,,,,,,,,,,,-1.55352,,-0.638127,-1.55352,,,,,,,,,,,,,,-1.22493,,-1.22493,,,,
Fe2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48939,1.1195,-0.387988,,,,-0.164015,,-0.387988,,,1.42816,,,,1.3467,,-0.164015,,,,,,1.15453,-1.22492,0.787162,0.919052,-0.638127,1.99875,,,-0.638127,2.04648,0.95397,2.93375,,2.82242,0.348379,-0.91898,,,,,0.987215,-0.638127,-1.22493,1.38723,,,,-1.55352,2.78817,,-0.164015,0.572944,,,-0.387988,,2.21993,0.657236,,,-1.22493,,1.1195,,,,-0.164015,,,,-0.638127,-1.22476,0.88048,-0.638127,0.728063,,-0.91898,,,-0.164015,-0.91898,,0.953988,,,,,-0.91898,,,,-1.22476,,-1.22475,,,0.837548,0.0338194,-1.22492,,-1.22476,0.919052,,,-1.22476,,,,,1.38732,,1.02055,,,,,0.98737,,-0.638127,-0.387988,,1.96992,0.202504,,,-0.91898,1.02071,0.348379,-0.638127,,,,-0.638127,,-0.91898,-0.387988,0.787162,0.88048,0.471062,-0.91898,-1.55367,0.657236,-0.91898,,0.0338194,0.202504,0.787162,1.2282,0.572944,,,,,-1.22493,1.96994,,,,0.787162,-0.638127,1.02071,2.8102,,-1.22476,0.0338194
Fe3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49666,-0.164015,,,,2.76283,,0.88048,-0.91898,,1.02071,,-1.55352,,-0.387988,,0.837798,,0.0338194,,,,2.42417,-0.91898,-1.55352,0.572944,0.0338194,2.83552,,,1.11951,2.09034,1.58969,2.01153,,1.8238,2.84955,,,,-0.91898,,1.99875,,-1.22475,1.66468,,,-1.22493,-0.164015,3.37188,,1.05279,0.572944,,,0.953882,,2.05765,2.60867,,,,,,,,,0.657236,,,,0.348379,,0.953781,0.0338194,1.11944,,,,,0.728063,1.15427,,-0.387988,,,,,1.7655,,,,-0.91898,-1.22476,-0.164015,,,1.19046,,,0.728063,1.42787,1.26639,,,,,,0.471062,-1.55352,2.25141,,3.32074,,,1.76575,-1.22476,-0.164015,,0.728063,0.348379,,-1.55352,0.202504,-1.5537,,,1.5104,1.08543,-1.55352,,,0.348379,-0.164015,,-1.55352,,2.71888,1.51043,1.76575,0.837548,,0.95397,-0.164015,0.919052,-0.164015,0.787162,,2.88894,0.0339822,,,-1.5537,,,2.14971,,,,1.76537,0.202504,1.73412,1.70011,,-0.91898,2.1014
Fe4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15512,,,,-1.22476,,,,,-1.22475,,,,-0.91898,,,,-1.55352,,,,,,-1.55352,,,,,,-1.55352,-1.5537,-1.55352,-0.91898,,-0.164015,0.202504,-1.22493,,,,,,,,,,,,-1.55352,-1.55352,,-0.91898,-1.22476,,,-1.5537,,-0.91898,-0.638127,,,-1.55352,,-0.638127,,,,,,,,,-1.55352,-1.22476,-1.55352,-0.638127,,,,,-1.55352,-1.22493,,,,,,,,,,,,,,,,,,,-1.22493,-0.91898,,,,-1.55352,,,,,,,0.348379,,,0.0339822,,-0.387988,,,-0.91898,,-1.22493,-1.22493,,,-1.55352,-0.387988,,-1.22476,,,,,,-1.22476,,-0.164015,0.0339822,,,,,,-1.55367,-1.22493,,-1.22492,0.657236,-1.5537,,,,,,,,,,,-1.55352,,-1.5537,,,-0.387988
Fe5+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.856428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.638127,,,,,,,,,,,,,,,,,,,-0.638127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.22492,,,,,,,,,,,,,,,,,-0.91898,,,,,,,,,,,,,,,,,,,,,,,-1.22476,,,,,,,,,,,,,,,
Fe6+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55352,,,,,,,,,,,,,,,,,,,,,-1.5537,,,,-1.55352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.22493,,,,,,,,-1.55352,-1.22492,,,,,,,,,,,,,,,,-1.55352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.638127,,,
Ga2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.856428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ga3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02016,,-0.387988,-1.22476,,1.05248,,,,0.202504,,-0.638127,,-0.164015,,,,2.56894,-1.5537,,,,0.787162,,,-0.164015,1.91739,0.572944,1.08529,,0.88048,1.6278,,,,-0.387988,,-0.91898,,,,,,-1.22476,-0.91898,1.7002,,-0.387988,-0.91898,,,-0.638127,,0.787162,1.22775,,,,,-1.22476,,,,,,,,0.572944,,-0.638127,-0.638127,-0.387988,-1.22476,,,,-1.5537,-0.164015,,,,,,,1.02071,,,,-1.22475,,,,,-0.387988,,,-0.638127,-0.164015,,,,,,,0.572944,,-0.638127,,2.04677,,,1.08543,-0.91898,0.98737,,-1.22493,-0.91898,,-1.55352,0.348379,-0.91898,,,0.837548,-1.22475,-1.55367,,,-0.387988,,,-0.638127,,1.38714,0.787162,0.787162,0.202504,,-1.22475,,-0.91898,-1.55352,,,1.73403,-1.22476,-0.638127,,,,,,,,,0.837548,-0.638127,0.88048,0.572944,,-1.55352,1.0202
Gd2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55352,,,,,-1.5537,-1.22476,,,,,,,,,,,,,,,,-0.91898,,,,,,,,,,,,,,,,,,,,,-1.55352,,,-1.22493,,,,,,,,,,,,,,,,0.471062,,,,,,,,,-1.55352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55352,,,,,-0.638127,,-1.22476,,,,,,,,-1.5537,-0.638127,,,,,,,-1.22493,,,,,,,-1.22493,,-1.55352,,,,,,0.657236,,,,,,,,-1.5537,-0.638127,-1.5537,-1.22475,,,,-1.55367
