0,Ac3+,Ag1+,Ag2+,Ag3+,Al3+,Am3+,As3+,As5+,Au1+,Au2+,Au3+,B3+,Ba2+,Be2+,Bi2+,Bi3+,Bi5+,Bk3+,Br1-,Br3+,Br5+,Br7+,C1+,C2+,C3+,C4+,Ca2+,Cd2+,Ce2+,Ce3+,Ce4+,Cf3+,Cl1-,Cl3+,Cl5+,Cl7+,Cm3+,Co1+,Co2+,Co3+,Co4+,Cr2+,Cr3+,Cr4+,Cr5+,Cr6+,Cs1+,Cu1+,Cu2+,Cu3+,Dy2+,Dy3+,Er2+,Er3+,Eu2+,Eu3+,F1-,Fe2+,Fe3+,Fe4+,Fe5+,Fe6+,Ga2+,Ga3+,Gd2+,Gd3+,Ge2+,Ge3+,Ge4+,H1+,Hf4+,Hg1+,Hg2+,Ho2+,Ho3+,I1-,I5+,I7+,In1+,In2+,In3+,Ir3+,Ir4+,Ir5+,Ir6+,K1+,Kr2+,La2+,La3+,Li1+,Lu3+,Mg2+,Mn1+,Mn2+,Mn3+,Mn4+,Mn5+,Mn6+,Mn7+,Mo2+,Mo3+,Mo4+,Mo5+,Mo6+,N1+,N3+,N3-,N5+,Na1+,Nb3+,Nb4+,Nb5+,Nb7+,Nd2+,Nd3+,Ni1+,Ni2+,Ni3+,Ni4+,Np3+,Np4+,Np6+,O2-,Os4+,Os5+,Os6+,Os7+,P1+,P3+,P4+,P5+,Pa4+,Pb2+,Pb4+,Pd2+,Pd3+,Pd4+,Po4+,Pr2+,Pr3+,Pr4+,Pt2+,Pt4+,Pt5+,Pu3+,Pu4+,Pu6+,Rb1+,Re1+,Re3+,Re4+,Re5+,Re6+,Re7+,Rh1+,Rh2+,Rh3+,Rh4+,Rh5+,Ru3+,Ru4+,Ru5+,Ru6+,S2+,S2-,S4+,S5+,S6+,Sb3+,Sb5+,Sc2+,Sc3+,Se2+,Se2-,Se4+,Se6+,Si4+,Sm2+,Sm3+,Sn2+,Sn3+,Sn4+,Sr2+,Ta2+,Ta3+,Ta4+,Ta5+,Tb3+,Tb4+,Tc4+,Tc7+,Te4+,Te6+,Th3+,Th4+,Ti2+,Ti3+,Ti4+,Tl1+,Tl3+,Tm2+,Tm3+,U3+,U4+,U5+,U6+,V2+,V3+,V4+,V5+,W2+,W3+,W4+,W5+,W6+,Xe2+,Xe6+,Y2+,Y3+,Yb2+,Yb3+,Zn2+,Zr2+,Zr3+,Zr4+
Gd3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49522,,,-0.638127,,-0.638127,,-0.638127,-1.5537,2.73682,-0.638127,-0.387988,-1.55367,,,1.8498,,,,-0.91898,2.80443,,,3.00235,2.7311,2.01165,0.88048,,0.348379,-0.91898,,,,,,0.953768,,-1.55352,0.728063,,,1.11944,,3.55466,,,0.471062,,,2.97246,,0.348379,0.837548,,-0.91898,-1.22476,,0.88048,,,,-0.638127,,,,0.471062,,0.98737,,-1.55352,,,,-1.55352,2.68179,-1.5537,,-1.22476,,-0.164015,,,3.27058,,,,0.202504,-1.22493,-1.22492,,,0.95377,,,,,0.348379,,,1.02035,,,,,1.30611,,2.02394,,0.657236,1.7343,,0.348379,-1.22476,2.87245,-1.22476,,,2.11291,,,,-0.387988,2.6977,,,-1.22493,0.657236,-0.91898,,0.919052,,1.05288,-1.5537,2.75793,1.79571,,2.12463,-0.91898,1.26645,-1.5537,-1.22476,,1.30664,,0.728063,,,,,1.26639,,,-1.55352,2.71878,-0.91898,2.67287,-0.164015,,,0.728063
Ge2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151599,,-0.638127,,-1.22493,,-1.22493,,,-1.55352,0.348379,,,,-1.5537,,,,,,,,-1.55352,,,,,-0.91898,,,,,,,,,,,,,,0.348379,,,,-1.55367,,,,,,,,,,,,,,,,,,,,,-1.22493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55352,-1.55352,,,,,,-1.5537,,,-1.55352,,,,,-1.5537,,0.202504,,,,,-1.55367,,,,,-1.55352,,,,,,-0.638127,,,,,,,,,,,,,,,,,,,,,-1.55352,,-1.5537,-1.22476,,,
Ge3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.496415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ge4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74613,-1.22476,0.0339822,,1.30618,-1.55352,-1.22492,,,0.202504,,,-0.387988,,-1.22476,,,0.348379,,,,1.98493,,1.73432,,1.7655,-1.55352,0.657236,,-0.91898,,,,-1.22476,,0.471062,,,-1.55352,,1.08565,,-0.91898,-1.55352,,,,,0.202504,,0.348379,,-1.55352,,-0.91898,-1.22475,,,,,,,2.28451,,-0.387988,0.202504,,,0.348379,-0.91898,,,-1.55352,-1.5537,0.787162,,,-1.55367,,-1.22493,,,-0.387988,-1.55352,,-0.91898,,,,-0.387988,,,0.572944,-0.91898,-1.55367,,,,,-0.91898,,0.348379,,0.0339822,,,-0.387988,-1.22476,4.15115,,-1.22475,-0.387988,,2.33616,-0.387988,,-1.55352,-1.5537,-0.91898,-1.22476,,-1.55352,-1.22493,-0.387988,-0.387988,,-0.638127,,,1.66479,-1.55352,-1.5537,,-1.22475,,-0.387988,,-0.387988,,-1.55352,-0.387988,1.22843,,,-0.387988,,0.0339822,,,-1.55352,,-1.55367,-1.55352,2.53964,,,0.837548
H1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01333,,,-0.91898,,,,,,,,,,,,,,,,,0.787162,,-1.5537,,,,,,,,,,,,,,,-0.387988,,-1.55367,,,,,,,,,,,,,,0.837548,,,,,,,,,,,,-1.22492,,,,,,,-1.22476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5537,,,,,,-0.638127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21578,,-1.22476,-1.55352,0.348379,,-1.55352,,,,0.348379,,,,,0.348379,,,0.0339822,0.88048,0.471062,-0.638127,,0.657236,0.471062,-0.638127,,,,,-1.55352,-1.22476,-1.55352,,,,0.202504,,1.08522,,-1.22493,-1.55352,,,0.471062,,-0.638127,0.348379,-0.91898,,-1.5537,,0.202504,-1.22493,,,,,,,0.572944,,-0.387988,-0.164015,-1.22476,-1.55352,-0.164015,-1.22475,-1.55367,0.471062,-1.22492,,0.348379,,-1.22476,,,1.46983,,,-0.638127,,,,,-1.55352,-1.22493,,,-1.22493,-0.638127,,,,,,,,,-1.55352,,0.837548,,,-0.91898,,-0.164015,,0.95397,-1.55367,,0.572944,-1.55352,,,-1.55352,-1.22476,0.728063,-0.638127,-1.55352,,0.202504,,,-0.638127,-1.55352,0.202504,0.0339822,0.728063,-0.91898,,0.471062,-1.22493,-0.164015,-1.55352,-0.91898,-1.5537,0.728063,-1.5537,0.88048,,,-0.164015,,,,,-1.55352,0.987351,-0.91898,0.787162,-0.91898,,-1.5537,1.91736
Hg1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.431121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hg2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52377,,-1.55367,,,,,,-0.164015,,-0.638127,-1.55352,,,,,0.572944,0.572944,-0.164015,1.98508,,1.95396,0.919052,,,-1.55352,,,,-1.22476,-1.5537,-0.164015,,,,-1.5537,0.348379,,0.348379,-0.164015,,,0.471062,,1.02026,0.471062,,,-1.22476,,1.30611,,,,,,,,-0.91898,-1.22493,0.95397,-0.164015,0.572944,-1.5537,-1.22476,,,0.202504,-0.387988,-1.22493,0.202504,,,,,,,,,-1.55352,,,,-1.55352,,-1.5537,-1.55352,-1.22476,0.202504,,-1.55367,,0.0339822,,,-0.387988,,-0.91898,,0.953801,,-1.55352,-1.22476,-1.55352,0.787162,,-0.164015,0.348379,,1.26644,0.471062,,,-1.22476,0.471062,-1.22475,-0.638127,,,-1.55352,-1.22492,,-0.638127,,0.787162,0.787162,,-1.22476,,-1.55352,,-0.91898,-0.387988,0.0339822,0.202504,1.22843,0.0339822,-1.5537,,,,-1.22475,-0.91898,,,,-0.638127,0.348379,-0.638127,2.16249,,,0.98724
Ho2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5537,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55352,,,,,,-1.55367,,,,,,,,-1.55352,,-1.55352,,,,,
Ho3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99627,0.348379,-0.638127,,,,2.02394,-1.5537,-0.164015,0.837548,0.202504,3.25521,,,2.76789,2.99236,2.42427,1.46992,,1.05248,-0.387988,,,,,,1.51045,,-0.91898,1.30651,,,0.88048,,3.83464,,,0.987215,,-1.22475,2.79891,,1.02054,1.15398,,-1.22476,-1.22476,,-0.387988,,,,0.202504,,,,0.987166,,0.572944,,-0.91898,,,,,2.20478,-0.91898,,-0.164015,,-0.164015,,,3.5223,,,,0.919207,-0.387988,-0.638127,,,1.42782,-1.22476,,,-1.5537,1.34632,,,1.02071,,,,,1.84978,,2.11296,,0.348379,1.51037,,0.657236,-0.638127,2.69772,-1.22476,,-1.55352,2.09029,,,,0.348379,2.45897,-1.55352,,,0.348379,-0.387988,,0.657236,,1.3467,-0.164015,2.80447,1.91738,,2.31887,-0.638127,0.88048,-0.91898,0.202504,,1.87424,,0.919052,,,,,1.97,,,-1.22476,2.82245,-0.638127,2.81023,0.88048,,-1.55367,0.348379
I1-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78485,-1.22492,,-1.55352,,,,,,,2.06861,,,0.471062,,,-1.5537,,,,,,,,,,,,,,,,,1.22775,,,,,,-0.638127,,,,,,,,4.03918,,,,,,,,,,,,,,,,,-0.387988,,,,,,,,1.6278,,,,,,,,,,,,,,,,,3.2586,,,,,,,,,1.76575,,,,,-0.387988,-0.91898,,-1.22493,0.728063,,,,,,,,,,,,-1.22492,,,-1.22476,1.42785,,,,,-1.55352,,,,-1.5537,,,,,,,,,,,-1.22475,,,,,,-1.22493
I5+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94451,,,,,,,,,-1.55352,,,0.202504,,-1.22476,-0.91898,,-0.91898,-0.387988,,,,,,,,,,,,,-1.22475,-0.387988,,-1.55352,,,,-0.164015,,-1.55352,-1.22476,,,,,,,,,,,,,,,-1.55352,,,,,,,-0.91898,-1.22475,,,,,,,,,,,,,,,,,,,-1.22493,-1.22493,,,,,,,,,,,0.572944,,,0.348379,,,,-0.387988,,,,-0.387988,,,,,-1.22476,,,,-0.91898,,,-1.55367,,-0.387988,-0.387988,-1.55352,-1.5537,,-1.22476,,-1.5537,,,,-1.55352,,,,,,,,,,,-0.91898,,-1.22493,-1.55352,,,-0.387988
I7+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72215,,,,,,,,0.471062,,,,0.919207,,,,,,,,,,,,,,1.08543,,,,,0.202504,,,-0.387988,,,,,,,-0.91898,,,,,,,,,,,,,,0.471062,-1.55352,,,,,,,,,,,,,,-0.164015,,,,,,0.728063,,,,,,,,,,,,,,,,,,,,,,,-0.387988,,,,,,0.837548,,,,,,,,0.572944,,-1.22493,,-0.164015,,,,-0.387988,-0.91898,,,,-0.387988,,,,,,-0.387988,,,,,1.02067,,,,,,-0.387988,0.471062,,,0.0339822
In1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21571,,,,-1.55352,,,1.22843,,,-0.164015,,,,,-1.22476,,,,,,,,,,,,,,,-1.55352,,,,,,-1.22493,,,,,,,,,,,,,,,,,,-0.164015,,,,,,,-1.55352,,,,,,,,0.787162,,,,,,,,,,,,,,,,,,,,,0.348379,,,-1.55352,,,,,,,-0.91898,-0.91898,,,-1.55367,,,,,,,,,,,,-1.55352,,,,1.1195,,-1.55352,,-1.5537,-1.22476,,,,,,,,,,,,,,,-1.5537,,-0.164015,,,,
In3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43517,0.0339822,,-1.55352,-0.91898,2.37152,,,0.0339822,1.99885,1.66479,2.01156,,1.05317,1.34638,,,,,,1.15398,,,1.05266,,,-0.91898,,3.21671,,-1.22476,0.348379,,,0.787162,,1.51045,1.26665,,,,,,,,,-0.164015,,,,0.919052,,-0.91898,-1.5537,-0.387988,,,,,0.202504,-1.22493,,-0.91898,,,,,0.471062,,,,,,-0.91898,,,1.58968,,,-1.22476,-1.22475,0.348379,,,-1.55352,,,,,1.66476,,2.30155,,,0.202504,,1.05288,,0.787162,-1.22475,,,-0.638127,-1.22493,,,0.787162,0.953781,-1.5537,,,-1.22476,,,,,1.82375,-0.91898,1.73432,1.08529,,1.0202,-0.91898,-1.22476,-0.164015,-0.387988,,2.19044,-1.55367,,,,,,1.66479,,,,1.87423,-1.22476,2.04652,1.19046,,-0.387988,-0.387988
Ir3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673976,,,,,,,,,,-0.91898,,,-1.55352,,,,,,-1.55352,,,,,,,,,,,,,,,,-1.55352,-1.5537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.22476,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5537,,-1.55352,,,,,,-1.22493,,,,,,,,,,,-1.55352,,-1.55352,,,-1.55352,
Ir4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98445,2.44168,-0.387988,-0.387988,,,-0.164015,1.58987,0.837548,0.787162,,1.26645,,0.0339822,,,,,,-1.55352,-0.387988,0.471062,,,,,1.58987,,-1.55352,0.919013,,,-0.164015,,0.728063,,-0.91898,,-1.5537,,-0.638127,-1.22493,,,,,,,,,0.0339822,-0.91898,,,0.572944,-1.22476,,-0.164015,,,1.02071,,,,,,,,-0.91898,-0.387988,,,,,0.202504,1.1908,,,0.202504,1.84976,,,,,,,,0.471062,,0.471062,,,-0.91898,,-0.387988,,-0.387988,-1.55352,,0.837548,-0.164015,,,-1.22476,0.0339822,-1.22475,-1.22493,-1.55352,,0.0339822,-0.387988,,-1.22476,,-1.55352,0.471062,,,-1.22475,0.471062,,-0.91898,,0.728063,-1.22476,-0.638127,,,,,-0.387988,,1.38722,,,,1.19058,-1.22493,0.471062,0.572944,,,-0.164015
Ir5+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55691,-1.5537,-0.638127,,,0.471062,2.68177,1.26641,1.15453,,2.04664,,-0.91898,,,,,,,0.88048,1.5104,,,,,1.98483,,,1.15427,,,-0.164015,,0.987166,,,,,,,,,,,,,,,,,,-1.55352,,,,,-0.387988,,,0.572944,,,,,,,,,0.657236,,,,,0.657236,1.02067,,,-0.638127,2.71215,,,,,,,,1.1195,,0.572944,,,,,,,0.657236,,,1.11944,-0.638127,,,,0.987166,-1.55367,-1.55352,,,,0.88048,,,,,0.919105,,,,1.46992,,,,0.202504,,,,,,,,,2.37158,,,,1.62776,,1.05317,1.11946,,,
Ir6+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.856428,1.42782,,,-1.55352,0.572944,-0.638127,-0.164015,,0.202504,-1.55367,,,,,,0.0339822,,-1.55352,0.471062,,,,,2.01169,,,-0.638127,,,-1.22476,,-0.387988,0.0339822,,,,,,,,,-1.22493,,,,,,,,-1.55352,,,,,-0.91898,-1.5537,,-1.22476,,,,,-1.22476,,,,-1.55352,,-1.55367,,,-0.387988,-1.22492,,,-1.55352,0.572944,,,,,,,,0.787162,,0.0339822,,,,,-1.55352,,-1.22493,,,-1.55352,-1.55352,,,,-0.91898,-0.638127,,,,,-1.22476,,,,-0.387988,-1.22475,-0.387988,-1.22493,,-0.638127,-1.55352,,-1.5537,-0.638127,,-0.638127,,,,,,,0.987166,,,,0.471062,,-0.638127,-0.387988,,,
K1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21975,,,3.33555,3.76798,2.17632,2.23544,,1.38702,0.88048,,,,,,2.78301,,-0.387988,2.71219,,,1.30671,,4.90633,,,1.11959,,,3.2968,,1.96986,2.49241,,,,,3.33159,-1.55352,,,1.62788,,,,-1.55352,,2.33602,-0.91898,0.728063,,,,,2.87255,-1.22507,,0.88048,,,,,5.45574,,,,1.6277,-0.387988,1.38702,,,2.31883,-0.387988,,,-1.22507,2.31887,,,2.04652,,,,0.837548,3.28124,,2.60865,,1.30626,1.91745,,0.837548,,2.94321,0.787162,,0.787162,3.97008,,,,1.38702,2.88055,-1.55352,,0.202504,0.787162,0.202504,,0.837548,,2.20494,1.15427,4.32653,2.17614,,2.31884,0.88048,1.15442,0.728063,1.19088,,2.53967,,-0.387988,,,,,3.20567,,,,2.84247,,3.02242,2.16263,,,1.22775
Kr2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33481,-0.638127,,,,,,,,,,,,,,,-1.2249,,,,,,,,0.657236,,,-1.22509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.22492,,,,
La3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75133,2.62082,1.9363,0.987215,,1.15427,-1.22509,,,,,,0.471062,,-0.91898,0.787162,,,0.919052,0.787162,3.60697,,,0.95397,,,3.7045,,0.95397,0.471062,,-1.22492,-1.22492,,1.05288,,,,-1.22492,,,,-1.2249,,0.953801,-1.22509,-1.55352,,,,,3.40506,-1.5537,,-1.22492,,0.202504,,,3.12633,,,,1.02035,-1.22509,-1.55352,,,0.728063,-1.22492,,,-1.55352,1.05286,,,1.02055,,,-1.55367,-1.55352,0.953768,,2.04648,,1.15442,2.1626,,-1.5537,-1.2249,3.41107,-0.91898,,-0.387988,4.27792,,,,-0.387988,2.25138,-1.22492,,,1.05248,-0.91898,,0.95397,,0.728063,0.471062,2.4922,1.82374,-1.22492,1.84999,-1.55367,1.19041,-1.22507,-0.638127,,1.02071,,,,,,,1.15429,,,,2.69007,-1.2249,2.45894,0.919052,,,0.471062
Li1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54356,1.95375,2.33608,,2.2048,0.202504,-1.2249,,,,,1.26641,,0.202504,1.89657,,,2.4758,-0.638127,4.68116,,-0.91898,0.95397,,,2.60867,,1.98497,1.91738,,,-1.55352,,3.607,,,,0.0339822,,,-1.22492,0.348379,-1.55367,0.573047,-1.55352,0.657236,,,,,1.70028,-1.55352,,1.89649,,-1.55352,,,4.01973,,,,0.202504,,0.0339822,,,1.58956,0.471062,-0.91898,,-1.22492,1.96986,,,0.787162,,,-0.638127,-0.91898,1.93628,,2.30149,,-0.638127,-0.638127,,3.29957,,2.02383,-1.22509,,2.03554,1.76568,,,-1.5537,1.22775,2.12468,-0.91898,,-0.638127,,0.573047,,0.348391,,1.96972,1.26671,3.48215,2.09025,,1.91741,-1.22509,0.348391,0.348391,0.348391,-1.22492,2.17632,-1.5537,0.95397,,,,,2.23546,,,,1.79573,-1.55352,2.76283,2.07932,,-1.55352,0.953882
Lu3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74235,1.66482,,1.22824,0.95397,,,,,,0.919013,,-0.638127,1.05279,,,0.471062,,3.28124,,-0.91898,0.88048,,,1.95391,,1.15398,1.19062,,,,,,,,,-0.638127,,,,1.02035,,-0.638127,-1.2249,-0.638127,,,,-1.55352,1.30654,-0.638127,,-0.91898,,,,,2.84957,,,,-0.638127,-1.55352,-1.22509,,,1.19041,-1.22507,,-1.22492,-0.387988,1.58968,,,,,,,,1.66479,,2.50841,,,0.471062,,0.787162,,2.07934,-0.91898,,-0.638127,0.98724,,,,0.837527,1.93633,-1.55367,,,-0.91898,-0.638127,,0.202504,,1.08582,0.202504,2.23544,1.22775,,2.01155,-1.22509,0.202504,-1.22492,-0.387988,,1.9363,-1.5537,1.19036,,,,,2.01155,,,-0.638127,2.50847,-0.164015,2.42419,0.919207,,-0.387988,0.787162
Mg2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08118,,3.3879,1.79573,-0.638127,,-0.91898,,,1.51015,-0.164015,-0.387988,2.06861,,,0.98737,-1.55352,3.67715,,0.91895,0.987215,,,1.42838,,2.93375,1.8966,,,-0.91898,,2.47587,,,,0.471062,,,,-0.387988,-0.91898,0.919207,0.728063,1.08522,-1.55367,-0.638127,,,1.26665,0.728063,,1.05279,,-1.22492,,,0.573047,,,,0.0338976,-1.22509,-0.387988,,-1.55352,0.88048,0.987215,-1.22492,-0.638127,0.728063,1.93631,-1.55352,,0.573047,,,-0.91898,,2.19023,-1.55352,2.23544,,0.728063,1.42791,-0.91898,2.05774,,1.15436,-0.164015,,1.7002,1.38734,,,-0.638127,1.26641,1.11953,0.202504,,,0.0338976,0.0338976,,0.0338976,-0.164015,1.82385,1.58987,0.987166,0.348391,-1.22492,1.15442,-0.387988,0.573047,0.471062,1.11976,0.728063,1.98497,1.11964,-1.5537,,,,-0.91898,2.37158,,,,1.84999,0.573047,1.46983,3.21129,,,1.73416
Mn1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.496415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0338976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mn2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14129,1.82374,0.573047,,,,,1.22775,-1.22509,-1.55352,1.82364,,,,-1.22492,3.28124,,0.471062,0.657236,,,0.657236,,2.66359,1.58969,,,-1.22507,,1.70011,,,,0.202504,,,,,-1.22492,1.66479,0.573047,0.837527,-1.55352,-0.164015,,,0.657236,0.728063,,0.787162,,,-1.5537,,-0.638127,,,,-1.55367,-1.55352,-0.638127,,-1.55352,1.02071,-1.22492,,-0.164015,0.837527,1.08565,,,0.657236,,,-1.55352,,1.98502,-1.22492,2.13709,,0.88048,1.08522,-1.55367,1.34665,,0.573047,0.837527,,1.51015,0.987196,,,-0.164015,1.08522,0.728063,-0.638127,,,-0.638127,-1.55352,,-0.638127,0.657236,1.70022,1.82385,0.953801,-0.387988,-0.638127,0.837527,-0.638127,0.202504,-0.164015,1.05248,1.08565,1.87434,1.0202,,,,,-1.55352,1.99875,,,,0.98724,0.657236,1.26665,3.18038,,,1.7343
Mn3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85905,0.657236,,,,,-0.164015,-1.5537,-1.22492,-0.91898,,,,-0.91898,1.3467,,0.987166,-1.22507,,,-1.22492,,1.4699,2.17632,,,-1.5537,,0.471062,,,,-1.22509,,,,,-1.55352,0.88048,0.728063,1.08582,-0.387988,,,,-1.22492,1.05248,,,,,,,-1.55367,,,,,-1.55352,-1.55352,,-0.387988,0.202504,,,0.95397,1.26669,-0.91898,,,-1.55367,,,,,0.657236,,2.82248,,,1.96972,,-1.5537,,-1.55352,0.657236,,-0.91898,-1.22509,,,-1.55352,0.837527,-1.22492,0.573047,,,0.657236,-0.638127,,-1.55352,,2.14952,0.987166,-1.22507,,,-0.638127,-1.5537,0.573047,0.0338976,-0.387988,-1.22509,2.47587,0.0338976,,,,,-1.55352,-0.387988,,,,-0.387988,0.728063,0.837527,1.11976,,-1.55352,2.03554
